"","District","total_response","skipped","not_skipped","percent_skipped","percent_not_skipped"
"1","Abbottabad",888,26,862,2.92792792792793,97.0720720720721
"2","Bajur",885,34,851,3.84180790960452,96.1581920903955
"3","Bannu",724,51,673,7.04419889502762,92.9558011049724
"4","Batagram",580,40,540,6.89655172413793,93.1034482758621
"5","Bunair",644,23,621,3.57142857142857,96.4285714285714
"6","Charsada",1099,64,1035,5.82347588717016,94.1765241128298
"7","Chitral",595,41,554,6.89075630252101,93.109243697479
"8","D. I. Khan",945,61,884,6.45502645502645,93.5449735449735
"9","Hangu",567,6,561,1.05820105820106,98.9417989417989
"10","Haripur",980,35,945,3.57142857142857,96.4285714285714
"11","Karak",587,27,560,4.59965928449745,95.4003407155026
"12","Khyber",770,17,753,2.20779220779221,97.7922077922078
"13","Kohat",589,5,584,0.848896434634975,99.151103565365
"14","Kohistan",1194,35,1159,2.93132328308208,97.0686767169179
"15","Kurram",537,30,507,5.58659217877095,94.413407821229
"16","Lakki Marwat",541,13,528,2.40295748613678,97.5970425138632
"17","Lower Dir",1370,197,1173,14.3795620437956,85.6204379562044
"18","Malakand",453,10,443,2.2075055187638,97.7924944812362
"19","Mansehra",1103,45,1058,4.07978241160471,95.9202175883953
"20","Mardan",1195,60,1135,5.02092050209205,94.9790794979079
"21","Mohmand",495,20,475,4.04040404040404,95.959595959596
"22","North Waziristan",611,12,599,1.96399345335516,98.0360065466449
"23","Nowshera",927,46,881,4.96224379719525,95.0377562028047
"24","Orakzai",426,7,419,1.64319248826291,98.3568075117371
"25","Peshawar",1472,48,1424,3.26086956521739,96.7391304347826
"26","Shangla",476,10,466,2.10084033613445,97.8991596638655
"27","South Waziristan",536,120,416,22.3880597014925,77.6119402985075
"28","Swabi",1134,42,1092,3.7037037037037,96.2962962962963
"29","Swat",762,112,650,14.6981627296588,85.3018372703412
"30","Tank",419,136,283,32.4582338902148,67.5417661097852
"31","Tor Garh",431,9,422,2.08816705336427,97.9118329466357
"32","Upper Dir",1049,119,930,11.3441372735939,88.6558627264061
"33","Attock",1337,47,1290,3.51533283470456,96.4846671652954
"34","Bahawalnagar",1986,438,1548,22.0543806646526,77.9456193353474
"35","Bahawalpur",2459,299,2160,12.159414396096,87.840585603904
"36","Bhakhar",1354,78,1276,5.76070901033973,94.2392909896603
"37","Chakwal",1255,75,1180,5.97609561752988,94.0239043824701
"38","Chiniot",995,63,932,6.33165829145729,93.6683417085427
"39","D. G. Khan",1280,248,1032,19.375,80.625
"40","Faisalabad",2743,164,2579,5.97885526795479,94.0211447320452
"41","Gujranwala",1503,136,1367,9.04856952761144,90.9514304723886
"42","Gujrat",1597,41,1556,2.56731371321227,97.4326862867877
"43","Hafizabad",937,74,863,7.89754535752401,92.102454642476
"44","Islamabad",701,30,671,4.27960057061341,95.7203994293866
