"","District","total_response","out_of_food","n_out_of_food","percent_out_of_food","percent_n_out_of_food"
"1","Abbottabad",888,10,878,1.12612612612613,98.8738738738739
"2","Bajur",885,13,872,1.46892655367232,98.5310734463277
"3","Bannu",726,43,683,5.92286501377411,94.0771349862259
"4","Batagram",580,11,569,1.89655172413793,98.1034482758621
"5","Bunair",648,6,642,0.925925925925926,99.0740740740741
"6","Charsada",1099,20,1079,1.81983621474067,98.1801637852593
"7","Chitral",596,31,565,5.2013422818792,94.7986577181208
"8","D. I. Khan",952,28,924,2.94117647058824,97.0588235294118
"9","Hangu",567,2,565,0.352733686067019,99.647266313933
"10","Haripur",979,14,965,1.43003064351379,98.5699693564862
"11","Karak",591,29,562,4.90693739424704,95.093062605753
"12","Khyber",770,4,766,0.519480519480519,99.4805194805195
"13","Kohat",588,0,588,0,100
"14","Kohistan",1203,7,1196,0.58187863674148,99.4181213632585
"15","Kurram",536,6,530,1.11940298507463,98.8805970149254
"16","Lakki Marwat",541,19,522,3.51201478743068,96.4879852125693
"17","Lower Dir",1368,134,1234,9.7953216374269,90.2046783625731
"18","Malakand",454,5,449,1.10132158590308,98.8986784140969
"19","Mansehra",1103,22,1081,1.99456029011786,98.0054397098821
"20","Mardan",1201,17,1184,1.41548709408826,98.5845129059117
"21","Mohmand",502,10,492,1.99203187250996,98.00796812749
"22","North Waziristan",611,3,608,0.490998363338789,99.5090016366612
"23","Nowshera",936,10,926,1.06837606837607,98.9316239316239
"24","Orakzai",427,5,422,1.17096018735363,98.8290398126464
"25","Peshawar",1473,28,1445,1.90088255261371,98.0991174473863
"26","Shangla",476,6,470,1.26050420168067,98.7394957983193
"27","South Waziristan",538,59,479,10.9665427509294,89.0334572490706
"28","Swabi",1143,12,1131,1.0498687664042,98.9501312335958
"29","Swat",763,100,663,13.1061598951507,86.8938401048493
"30","Tank",418,45,373,10.7655502392345,89.2344497607656
"31","Tor Garh",433,2,431,0.46189376443418,99.5381062355658
"32","Upper Dir",1049,66,983,6.29170638703527,93.7082936129647
"33","Attock",1337,19,1318,1.42109199700823,98.5789080029918
"34","Bahawalnagar",1977,370,1607,18.715225088518,81.284774911482
"35","Bahawalpur",2460,244,2216,9.91869918699187,90.0813008130081
"36","Bhakhar",1341,35,1306,2.60999254287845,97.3900074571216
"37","Chakwal",1256,52,1204,4.14012738853503,95.859872611465
"38","Chiniot",995,13,982,1.30653266331658,98.6934673366834
"39","D. G. Khan",1277,57,1220,4.46358653093187,95.5364134690681
"40","Faisalabad",2739,81,2658,2.95728368017525,97.0427163198247
"41","Gujranwala",1495,69,1426,4.61538461538462,95.3846153846154
"42","Gujrat",1581,20,1561,1.26502213788741,98.7349778621126
"43","Hafizabad",931,40,891,4.29645542427497,95.703544575725
"44","Islamabad",700,20,680,2.85714285714286,97.1428571428571
"45","Jehlum",1034,102,932,9.86460348162476,90.1353965183752
"46","Jhang",1724,79,1645,4.58236658932715,95.4176334106728
"47","Kasur",2044,208,1836,10.1761252446184,89.8238747553816
"48","Khanewal",1747,252,1495,14.4247281053234,85.5752718946766
"49","Khushab",1032,26,1006,2.51937984496124,97.4806201550387
"50","Layyah",569,13,556,2.28471001757469,97.7152899824253
"51","Lodhran",1123,118,1005,10.5075690115761,89.4924309884239
"52","Mandi Bahauddin",945,45,900,4.76190476190476,95.2380952380952
"53","Mianwali",1151,2,1149,0.173761946133797,99.8262380538662
"54","Multan",2049,76,1973,3.70912640312347,96.2908735968765
"55","Muzaffar Garh",2687,246,2441,9.15519166356531,90.8448083364347
"56","Nankana Sahib",957,23,934,2.40334378265413,97.5966562173459
"57","Narowal",1385,43,1342,3.10469314079422,96.8953068592058
"58","Okara",1301,14,1287,1.076095311299,98.923904688701
"59","Pakpattan",1398,38,1360,2.71816881258941,97.2818311874106
"60","Rahim Yar Khan",1940,89,1851,4.58762886597938,95.4123711340206
"61","Rajanpur",1108,28,1080,2.52707581227437,97.4729241877256
