"","District","Total_responses","onetotwo_rooms","threetofour_rooms","greater_thanfive_rooms","percent_one_to_two","percent_threetofour_rooms","percent_greater_thanfive_rooms"
"1","Abbottabad",889,412,380,97,46.3442069741282,42.7446569178853,10.9111361079865
"2","Bajur",885,449,334,102,50.7344632768362,37.7401129943503,11.5254237288136
"3","Bannu",730,375,296,59,51.3698630136986,40.5479452054795,8.08219178082192
"4","Batagram",598,294,248,56,49.1638795986622,41.4715719063545,9.36454849498328
"5","Bunair",650,381,217,52,58.6153846153846,33.3846153846154,8
"6","Charsada",1100,689,346,65,62.6363636363636,31.4545454545455,5.90909090909091
"7","Chitral",596,304,202,90,51.006711409396,33.8926174496644,15.1006711409396
"8","D. I. Khan",959,473,439,47,49.3222106360792,45.7768508863399,4.90093847758081
"9","Hangu",569,252,233,84,44.2882249560633,40.9490333919156,14.7627416520211
"10","Haripur",982,393,480,109,40.020366598778,48.8798370672098,11.0997963340122
"11","Karak",595,378,196,21,63.5294117647059,32.9411764705882,3.52941176470588
"12","Khyber",770,311,384,75,40.3896103896104,49.8701298701299,9.74025974025974
"13","Kohat",590,347,195,48,58.8135593220339,33.0508474576271,8.13559322033898
"14","Kohistan",1219,740,434,45,60.7054963084495,35.602953240361,3.6915504511895
"15","Kurram",537,225,200,112,41.8994413407821,37.243947858473,20.8566108007449
"16","Lakki Marwat",547,311,199,37,56.8555758683729,36.3802559414991,6.76416819012797
"17","Lower Dir",1377,602,544,231,43.7182280319535,39.5061728395062,16.7755991285403
"18","Malakand",454,198,207,49,43.6123348017621,45.5947136563877,10.7929515418502
"19","Mansehra",1103,674,364,65,61.1060743427017,33.0009066183137,5.89301903898459
"20","Mardan",1203,672,442,89,55.860349127182,36.7414796342477,7.39817123857024
"21","Mohmand",504,265,188,51,52.5793650793651,37.3015873015873,10.1190476190476
"22","North Waziristan",611,306,277,28,50.0818330605565,45.3355155482815,4.58265139116203
"23","Nowshera",942,591,273,78,62.7388535031847,28.9808917197452,8.28025477707006
"24","Orakzai",430,237,186,7,55.1162790697674,43.2558139534884,1.62790697674419
"25","Peshawar",1483,845,498,140,56.9790964261632,33.5805799055968,9.44032366824005
"26","Shangla",478,298,148,32,62.3430962343096,30.9623430962343,6.69456066945607
"27","South Waziristan",539,233,265,41,43.2282003710575,49.165120593692,7.60667903525046
"28","Swabi",1149,701,371,77,61.0095735422106,32.2889469103568,6.70147954743255
"29","Swat",763,332,305,126,43.5124508519004,39.9737876802097,16.5137614678899
"30","Tank",420,174,236,10,41.4285714285714,56.1904761904762,2.38095238095238
"31","Tor Garh",437,241,181,15,55.1487414187643,41.4187643020595,3.4324942791762
"32","Upper Dir",1052,490,417,145,46.5779467680608,39.638783269962,13.7832699619772
"33","Attock",1338,690,537,111,51.5695067264574,40.1345291479821,8.29596412556054
"34","Bahawalnagar",2009,1388,519,102,69.0890990542559,25.8337481333997,5.07715281234445
"35","Bahawalpur",2460,1745,572,143,70.9349593495935,23.2520325203252,5.8130081300813
"36","Bhakhar",1392,1055,303,34,75.7902298850575,21.7672413793103,2.44252873563218
"37","Chakwal",1267,527,613,127,41.594317284925,48.3820047355959,10.0236779794791
"38","Chiniot",996,788,192,16,79.1164658634538,19.2771084337349,1.60642570281124
"39","D. G. Khan",1280,1088,184,8,85,14.375,0.625
"40","Faisalabad",2748,1734,900,114,63.1004366812227,32.7510917030568,4.14847161572052
"41","Gujranwala",1519,878,530,111,57.8011849901251,34.8913759052008,7.30743910467413
"42","Gujrat",1611,701,710,200,43.5133457479826,44.0720049658597,12.4146492861577
"43","Hafizabad",943,551,318,74,58.4305408271474,33.7221633085896,7.84729586426299
"44","Islamabad",710,300,315,95,42.2535211267606,44.3661971830986,13.3802816901408
"45","Jehlum",1051,481,458,112,45.7659372026641,43.5775451950523,10.6565176022835
"46","Jhang",1738,1064,567,107,61.2197928653625,32.6237054085155,6.15650172612198
"47","Kasur",2091,1351,600,140,64.6102343376375,28.6944045911047,6.69536107125777
"48","Khanewal",1771,1216,459,96,68.6617730095991,25.9175607001694,5.42066629023151
"49","Khushab",1036,586,371,79,56.5637065637066,35.8108108108108,7.62548262548263
