"","District","total_response","out_of_food","n_out_of_food","percent_out_of_food","percent_n_out_of_food"
"1","Abbottabad",888,25,863,2.81531531531532,97.1846846846847
"2","Bajur",885,25,860,2.82485875706215,97.1751412429379
"3","Bannu",727,57,670,7.8404401650619,92.1595598349381
"4","Batagram",582,18,564,3.09278350515464,96.9072164948454
"5","Bunair",645,14,631,2.17054263565891,97.8294573643411
"6","Charsada",1099,38,1061,3.45768880800728,96.5423111919927
"7","Chitral",596,36,560,6.04026845637584,93.9597315436242
"8","D. I. Khan",945,47,898,4.97354497354497,95.026455026455
"9","Hangu",568,2,566,0.352112676056338,99.6478873239437
"10","Haripur",982,19,963,1.93482688391039,98.0651731160896
"11","Karak",588,28,560,4.76190476190476,95.2380952380952
"12","Khyber",770,8,762,1.03896103896104,98.961038961039
"13","Kohat",589,3,586,0.509337860780985,99.490662139219
"14","Kohistan",1204,25,1179,2.07641196013289,97.9235880398671
"15","Kurram",536,11,525,2.05223880597015,97.9477611940299
"16","Lakki Marwat",543,21,522,3.86740331491713,96.1325966850829
"17","Lower Dir",1369,144,1225,10.518626734843,89.481373265157
"18","Malakand",454,9,445,1.98237885462555,98.0176211453744
"19","Mansehra",1103,21,1082,1.90389845874887,98.0961015412511
"20","Mardan",1201,37,1164,3.08076602830974,96.9192339716903
"21","Mohmand",499,18,481,3.60721442885772,96.3927855711423
"22","North Waziristan",611,13,598,2.12765957446809,97.8723404255319
"23","Nowshera",942,23,919,2.4416135881104,97.5583864118896
"24","Orakzai",429,6,423,1.3986013986014,98.6013986013986
"25","Peshawar",1477,40,1437,2.708192281652,97.291807718348
"26","Shangla",478,8,470,1.67364016736402,98.326359832636
"27","South Waziristan",537,73,464,13.5940409683426,86.4059590316573
"28","Swabi",1141,21,1120,1.84049079754601,98.159509202454
"29","Swat",763,100,663,13.1061598951507,86.8938401048493
"30","Tank",418,65,353,15.5502392344498,84.4497607655502
"31","Tor Garh",433,9,424,2.07852193995381,97.9214780600462
"32","Upper Dir",1049,95,954,9.05624404194471,90.9437559580553
"33","Attock",1338,33,1305,2.46636771300448,97.5336322869955
"34","Bahawalnagar",1980,413,1567,20.8585858585859,79.1414141414141
"35","Bahawalpur",2459,250,2209,10.1667344448963,89.8332655551037
"36","Bhakhar",1364,51,1313,3.73900293255132,96.2609970674487
"37","Chakwal",1251,54,1197,4.31654676258993,95.6834532374101
"38","Chiniot",995,54,941,5.42713567839196,94.572864321608
"39","D. G. Khan",1279,78,1201,6.09851446442533,93.9014855355747
"40","Faisalabad",2741,113,2628,4.12258299890551,95.8774170010945
"41","Gujranwala",1498,82,1416,5.4739652870494,94.5260347129506
"42","Gujrat",1594,21,1573,1.31744040150565,98.6825595984944
"43","Hafizabad",938,43,895,4.58422174840085,95.4157782515991
"44","Islamabad",700,25,675,3.57142857142857,96.4285714285714
"45","Jehlum",1034,107,927,10.3481624758221,89.6518375241779
"46","Jhang",1728,108,1620,6.25,93.75
"47","Kasur",2056,222,1834,10.7976653696498,89.2023346303502
"48","Khanewal",1756,339,1417,19.3052391799544,80.6947608200456
"49","Khushab",1035,38,997,3.67149758454106,96.3285024154589
"50","Layyah",570,24,546,4.21052631578947,95.7894736842105
"51","Lodhran",1121,132,989,11.7752007136485,88.2247992863515
"52","Mandi Bahauddin",956,49,907,5.1255230125523,94.8744769874477
"53","Mianwali",1154,18,1136,1.55979202772964,98.4402079722704
"54","Multan",2054,105,1949,5.11197663096397,94.888023369036
"55","Muzaffar Garh",2688,290,2398,10.7886904761905,89.2113095238095
"56","Nankana Sahib",962,29,933,3.01455301455301,96.985446985447
"57","Narowal",1383,149,1234,10.7736804049168,89.2263195950832
"58","Okara",1314,16,1298,1.21765601217656,98.7823439878234
"59","Pakpattan",1425,35,1390,2.45614035087719,97.5438596491228
"60","Rahim Yar Khan",1935,121,1814,6.25322997416021,93.7467700258398
"61","Rajanpur",1107,55,1052,4.96838301716351,95.0316169828365
"62","Rawalpindi",2368,75,2293,3.16722972972973,96.8327702702703
"63","Sahiwal",1652,44,1608,2.6634382566586,97.3365617433414
"64","Sargodha",2087,121,1966,5.79779587925252,94.2022041207475
"65","Sheikhupura",1883,49,1834,2.60223048327138,97.3977695167286
"66","Sialkot",1327,116,1211,8.74152223059533,91.2584777694047
"67","T.T. Singh",1363,66,1297,4.84225972120323,95.1577402787968
"68","Vehari",1284,170,1114,13.2398753894081,86.7601246105919
"69","Badin",972,134,838,13.7860082304527,86.2139917695473
"70","Dadu",588,9,579,1.53061224489796,98.469387755102
"71","Ghotki",1179,50,1129,4.24088210347752,95.7591178965225
"72","Hyderabad",293,26,267,8.87372013651877,91.1262798634812
"73","Jacobabad",744,127,617,17.0698924731183,82.9301075268817
"74","Jamshoro",452,30,422,6.63716814159292,93.3628318584071
"75","Karachi Malir",618,16,602,2.58899676375405,97.4110032362459
"76","Karachi West",90,11,79,12.2222222222222,87.7777777777778
"77","Kashmore",508,62,446,12.2047244094488,87.7952755905512
"78","Khairpur",1273,300,973,23.56637863315,76.43362136685
"79","Larkana",839,14,825,1.66865315852205,98.331346841478
"80","Matiari",517,25,492,4.83558994197292,95.1644100580271
"81","Mir Pur Khas",862,21,841,2.43619489559165,97.5638051044083
"82","Nowshero Feroze",924,11,913,1.19047619047619,98.8095238095238
"83","Sanghar",923,119,804,12.8927410617551,87.1072589382449
"84","Shahdadkot",775,7,768,0.903225806451613,99.0967741935484
"85","Shaheed Banazir Abad",984,139,845,14.1260162601626,85.8739837398374
"86","Shikarpur",683,17,666,2.48901903367496,97.510980966325
"87","Sujawal",720,83,637,11.5277777777778,88.4722222222222
"88","Sukkur",526,9,517,1.71102661596958,98.2889733840304
"89","Tando Allah Yar",509,80,429,15.7170923379175,84.2829076620825
"90","Tando Muhammad Khan",684,97,587,14.1812865497076,85.8187134502924
"91","Tharparkar",1005,19,986,1.89054726368159,98.1094527363184
"92","Thatta",761,79,682,10.3810775295664,89.6189224704336
"93","Umer Kot",565,44,521,7.78761061946903,92.212389380531
"94","Awaran",340,41,299,12.0588235294118,87.9411764705882
"95","Barkhan",500,159,341,31.8,68.2
"96","Dera Bugti",476,92,384,19.327731092437,80.672268907563
"97","Duki",270,13,257,4.81481481481481,95.1851851851852
"98","Gwadar",228,2,226,0.87719298245614,99.1228070175439
"99","Harnai",368,11,357,2.98913043478261,97.0108695652174
"100","Jaffarabad",508,83,425,16.3385826771654,83.6614173228346
"101","Kachhi/ Bolan",478,75,403,15.6903765690377,84.3096234309623
"102","Kalat",652,67,585,10.2760736196319,89.7239263803681
"103","Kech/Turbat",602,7,595,1.16279069767442,98.8372093023256
"104","Kharan",468,13,455,2.77777777777778,97.2222222222222
"105","Khuzdar",777,85,692,10.9395109395109,89.0604890604891
"106","Kohlu",143,13,130,9.09090909090909,90.9090909090909
"107","Lasbela",149,5,144,3.35570469798658,96.6442953020134
"108","Loralai",426,12,414,2.8169014084507,97.1830985915493
"109","Mastung",463,48,415,10.3671706263499,89.6328293736501
"110","Nasirabad/ Tamboo",500,73,427,14.6,85.4
"111","Nushki",345,6,339,1.73913043478261,98.2608695652174
"112","Pishin",904,147,757,16.2610619469027,83.7389380530973
"113","Qilla Abdullah",428,76,352,17.7570093457944,82.2429906542056
"114","Qilla Saifullah",508,15,493,2.95275590551181,97.0472440944882
"115","Quetta",746,91,655,12.1983914209115,87.8016085790885
"116","Shaheed Sikandar Abad",304,6,298,1.97368421052632,98.0263157894737
"117","Sherani",210,4,206,1.9047619047619,98.0952380952381
"118","Sibbi",499,4,495,0.801603206412826,99.1983967935872
"119","Sohbatpur",180,14,166,7.77777777777778,92.2222222222222
"120","Washuk",497,23,474,4.62776659959759,95.3722334004024
"121","Ziarat",354,18,336,5.08474576271187,94.9152542372881
