"","District","Total_responses","firewood","fossil","dung_Cake","crop_residue","charcoal","others","percent_firewood","percent_fossil","percent_dung_Cake","percent_crop_residue","percent_charcoal","percent_others"
"1","Abbottabad",889,632,233,20,2,2,0,71.0911136107987,26.2092238470191,2.24971878515186,0.224971878515186,0.224971878515186,0
"2","Bajur",885,839,21,3,21,0,1,94.8022598870056,2.3728813559322,0.338983050847458,2.3728813559322,0,0.112994350282486
"3","Bannu",730,597,114,0,0,19,0,81.7808219178082,15.6164383561644,0,0,2.6027397260274,0
"4","Batagram",598,504,91,0,0,3,0,84.2809364548495,15.2173913043478,0,0,0.501672240802676,0
"5","Bunair",650,523,69,0,57,1,0,80.4615384615385,10.6153846153846,0,8.76923076923077,0.153846153846154,0
"6","Charsada",1100,502,509,6,80,3,0,45.6363636363636,46.2727272727273,0.545454545454546,7.27272727272727,0.272727272727273,0
"7","Chitral",596,562,32,0,1,1,0,94.2953020134228,5.36912751677852,0,0.167785234899329,0.167785234899329,0
"8","D. I. Khan",959,846,84,11,18,0,0,88.2168925964546,8.75912408759124,1.14702815432742,1.87695516162669,0,0
"9","Hangu",569,475,94,0,0,0,0,83.4797891036907,16.5202108963093,0,0,0,0
"10","Haripur",982,533,330,1,0,1,117,54.2769857433809,33.6048879837067,0.10183299389002,0,0.10183299389002,11.9144602851324
"11","Karak",595,307,286,0,0,2,0,51.5966386554622,48.0672268907563,0,0,0.336134453781513,0
"12","Khyber",770,752,13,0,1,4,0,97.6623376623377,1.68831168831169,0,0.12987012987013,0.519480519480519,0
"13","Kohat",590,403,185,0,0,0,2,68.3050847457627,31.3559322033898,0,0,0,0.338983050847458
"14","Kohistan",1219,1192,8,13,3,3,0,97.7850697292863,0.656275635767022,1.06644790812141,0.246103363412633,0.246103363412633,0
"15","Kurram",537,409,69,1,55,3,0,76.1638733705773,12.8491620111732,0.186219739292365,10.2420856610801,0.558659217877095,0
"16","Lakki Marwat",547,498,21,3,0,25,0,91.0420475319927,3.83912248628885,0.548446069469835,0,4.57038391224863,0
"17","Lower Dir",1377,1011,363,0,0,3,0,73.4204793028322,26.3616557734205,0,0,0.217864923747277,0
"18","Malakand",454,227,208,0,19,0,0,50,45.8149779735683,0,4.18502202643172,0,0
"19","Mansehra",1103,880,222,0,0,1,0,79.7824116047144,20.1269265639166,0,0,0.0906618313689937,0
"20","Mardan",1203,752,344,8,98,1,0,62.5103906899418,28.595178719867,0.665004156275977,8.14630091438072,0.0831255195344971,0
"21","Mohmand",504,273,12,119,99,0,1,54.1666666666667,2.38095238095238,23.6111111111111,19.6428571428571,0,0.198412698412698
"22","North Waziristan",611,592,16,2,0,1,0,96.8903436988543,2.61865793780687,0.327332242225859,0,0.16366612111293,0
