"","District","total_response","total_response_for_BHU","BHU_0to0.5","BHU_0.5to1","BHU_1to2","BHU_2to5","BHU5plus","total_response_for_FMU","FMU_0to0.5","FMU_0.5to1","FMU_1to2","FMU_2to5","FMU5plus","total_response_for_HC","HC_0to0.5","HC_0.5to1","HC_1to2","HC_2to5","HC5plus","percent_BHU_0to0.5","percent_BHU_0.5to1","percent_BHU_1to2","percent_BHU_2to5","percent_BHU_5plus","percent_FMU_0to0.5","percent_FMU_0.5to1","percent_FMU_1to2","percent_FMU_2to5","percent_FMU_5plus","percent_HC_0to0.5","percent_HC_0.5to1","percent_HC_1to2","percent_HC_2to5","percent_HC_5plus"
"1","Abbottabad",1309,293,25,60,110,44,54,133,33,10,36,27,27,883,89,28,43,190,533,8.53242320819113,20.4778156996587,37.542662116041,15.0170648464164,18.4300341296928,24.812030075188,7.5187969924812,27.0676691729323,20.3007518796992,20.3007518796992,10.079275198188,3.17100792751982,4.86976217440544,21.5175537938845,60.3624009060023
"2","Bajur",1611,501,12,152,151,104,82,228,134,47,30,6,11,882,76,62,166,169,409,2.39520958083832,30.3393213572854,30.1397205588822,20.7584830339321,16.3672654690619,58.7719298245614,20.6140350877193,13.1578947368421,2.63157894736842,4.82456140350877,8.61678004535147,7.02947845804989,18.8208616780045,19.1609977324263,46.3718820861678
"3","Bannu",930,204,78,57,31,37,1,13,4,3,2,2,2,713,40,50,60,119,444,38.2352941176471,27.9411764705882,15.1960784313725,18.1372549019608,0.490196078431373,30.7692307692308,23.0769230769231,15.3846153846154,15.3846153846154,15.3846153846154,5.61009817671809,7.01262272089762,8.41514726507714,16.6900420757363,62.2720897615708
"4","Batagram",994,300,96,79,40,20,65,109,3,37,5,4,60,585,75,80,48,65,317,32,26.3333333333333,13.3333333333333,6.66666666666667,21.6666666666667,2.75229357798165,33.9449541284404,4.58715596330275,3.6697247706422,55.045871559633,12.8205128205128,13.6752136752137,8.2051282051282,11.1111111111111,54.1880341880342
"5","Bunair",982,369,87,57,50,64,111,27,13,3,2,6,3,586,56,18,25,138,349,23.5772357723577,15.4471544715447,13.550135501355,17.3441734417344,30.0813008130081,48.1481481481481,11.1111111111111,7.40740740740741,22.2222222222222,11.1111111111111,9.55631399317406,3.07167235494881,4.26621160409556,23.5494880546075,59.5563139931741
"6","Charsada",1680,519,171,80,169,89,10,109,27,24,37,16,5,1052,88,46,96,268,554,32.9479768786127,15.4142581888247,32.5626204238921,17.1483622350674,1.92678227360308,24.7706422018349,22.0183486238532,33.9449541284404,14.6788990825688,4.58715596330275,8.36501901140684,4.37262357414449,9.1254752851711,25.4752851711027,52.6615969581749
"7","Chitral",879,235,87,55,35,23,35,86,51,19,9,2,5,558,55,66,70,90,277,37.0212765957447,23.4042553191489,14.8936170212766,9.78723404255319,14.8936170212766,59.3023255813954,22.093023255814,10.4651162790698,2.32558139534884,5.81395348837209,9.85663082437276,11.8279569892473,12.5448028673835,16.1290322580645,49.6415770609319
"8","D. I. Khan",868,335,141,139,43,2,10,5,1,1,0,1,2,528,36,41,38,110,303,42.089552238806,41.4925373134328,12.8358208955224,0.597014925373134,2.98507462686567,20,20,0,20,40,6.81818181818182,7.76515151515152,7.1969696969697,20.8333333333333,57.3863636363636
"9","Hangu",762,194,18,50,54,68,4,14,0,3,7,3,1,554,5,47,37,100,365,9.27835051546392,25.7731958762887,27.8350515463918,35.0515463917526,2.06185567010309,0,21.4285714285714,50,21.4285714285714,7.14285714285714,0.902527075812274,8.48375451263538,6.67870036101083,18.0505415162455,65.884476534296
"10","Haripur",1487,396,94,67,117,74,44,147,63,29,13,18,24,944,37,58,145,154,550,23.7373737373737,16.9191919191919,29.5454545454545,18.6868686868687,11.1111111111111,42.8571428571429,19.7278911564626,8.84353741496599,12.2448979591837,16.3265306122449,3.91949152542373,6.14406779661017,15.3601694915254,16.3135593220339,58.2627118644068
"11","Karak",635,88,15,11,8,45,9,20,6,5,2,2,5,527,13,20,46,103,345,17.0454545454545,12.5,9.09090909090909,51.1363636363636,10.2272727272727,30,25,10,10,25,2.46679316888046,3.79506641366224,8.72865275142315,19.5445920303605,65.4648956356736
"12","Khyber",1253,506,122,41,72,118,153,6,2,1,0,1,2,741,273,51,49,178,190,24.1106719367589,8.10276679841897,14.2292490118577,23.3201581027668,30.2371541501976,33.3333333333333,16.6666666666667,0,16.6666666666667,33.3333333333333,36.8421052631579,6.88259109311741,6.61268556005398,24.0215924426451,25.6410256410256
"13","Kohat",466,75,21,13,21,20,0,4,4,0,0,0,0,387,93,62,36,54,142,28,17.3333333333333,28,26.6666666666667,0,100,0,0,0,0,24.031007751938,16.0206718346253,9.30232558139535,13.953488372093,36.6925064599483
"14","Kohistan",1766,550,34,73,64,119,260,48,3,12,2,6,25,1168,39,61,119,99,850,6.18181818181818,13.2727272727273,11.6363636363636,21.6363636363636,47.2727272727273,6.25,25,4.16666666666667,12.5,52.0833333333333,3.33904109589041,5.22260273972603,10.1883561643836,8.47602739726027,72.7739726027397
"15","Kurram",1021,320,38,48,58,96,80,195,10,29,44,69,43,506,40,37,47,110,272,11.875,15,18.125,30,25,5.12820512820513,14.8717948717949,22.5641025641026,35.3846153846154,22.0512820512821,7.90513833992095,7.31225296442688,9.28853754940712,21.7391304347826,53.7549407114625
"16","Lakki Marwat",712,248,79,78,37,31,23,5,2,2,1,0,0,459,7,26,72,57,297,31.8548387096774,31.4516129032258,14.9193548387097,12.5,9.2741935483871,40,40,20,0,0,1.52505446623094,5.66448801742919,15.6862745098039,12.4183006535948,64.7058823529412
