"","District","total_response","total_response_for_BHU","satisfied_from_BHU","total_response_for_FMU","satisfied_from_FMU","total_response_for_Health_Clinic","satisfied_from_Health_Clinic","percent_satisfied_from_BHU","percent_satisfied_from_FMU","percent_satisfied_from_Health_Clinic"
"1","Abbottabad",1309,293,174,133,122,883,676,59.3856655290102,91.7293233082707,76.5571913929785
"2","Bajur",1611,501,321,228,193,882,630,64.0718562874251,84.6491228070175,71.4285714285714
"3","Bannu",930,204,149,13,13,713,618,73.0392156862745,100,86.6760168302945
"4","Batagram",994,300,130,109,104,585,411,43.3333333333333,95.4128440366973,70.2564102564102
"5","Bunair",982,369,293,27,27,586,550,79.4037940379404,100,93.8566552901024
"6","Charsada",1680,519,364,109,86,1052,893,70.1348747591522,78.8990825688073,84.8859315589354
"7","Chitral",879,235,108,86,81,558,513,45.9574468085106,94.1860465116279,91.9354838709677
"8","D. I. Khan",868,335,236,5,3,528,399,70.4477611940299,60,75.5681818181818
"9","Hangu",762,194,133,14,14,554,416,68.5567010309278,100,75.0902527075812
"10","Haripur",1487,396,248,147,145,944,698,62.6262626262626,98.6394557823129,73.9406779661017
"11","Karak",635,88,74,20,20,527,493,84.0909090909091,100,93.5483870967742
"12","Khyber",1253,506,481,6,4,741,696,95.0592885375494,66.6666666666667,93.9271255060729
"13","Kohat",466,75,54,4,4,387,308,72,100,79.5865633074935
"14","Kohistan",1766,550,169,48,39,1168,955,30.7272727272727,81.25,81.763698630137
"15","Kurram",1021,320,146,195,137,506,414,45.625,70.2564102564102,81.8181818181818
"16","Lakki Marwat",712,248,189,5,5,459,411,76.2096774193548,100,89.5424836601307
"17","Lower Dir",2077,636,371,114,114,1327,1096,58.3333333333333,100,82.5923134890731
"18","Malakand",709,210,122,56,56,443,425,58.0952380952381,100,95.9367945823928
"19","Mansehra",1711,529,336,106,86,1076,972,63.5160680529301,81.1320754716981,90.3345724907063
"20","Mardan",1889,590,469,125,106,1174,1094,79.4915254237288,84.8,93.1856899488927
"21","Mohmand",825,360,180,34,30,431,354,50,88.2352941176471,82.1345707656613
"22","North Waziristan",628,7,1,18,17,603,507,14.2857142857143,94.4444444444444,84.0796019900498
"23","Nowshera",1396,441,216,39,31,916,818,48.9795918367347,79.4871794871795,89.3013100436681
"24","Orakzai",639,208,75,2,1,429,359,36.0576923076923,50,83.6829836829837
"25","Peshawar",2308,736,553,144,120,1428,1262,75.1358695652174,83.3333333333333,88.375350140056
"26","Shangla",687,110,71,106,104,471,377,64.5454545454545,98.1132075471698,80.0424628450106
"27","South Waziristan",593,79,17,3,0,511,189,21.5189873417722,0,36.986301369863
"28","Swabi",1746,627,414,65,60,1054,922,66.0287081339713,92.3076923076923,87.4762808349146
"29","Swat",1142,334,204,74,74,734,719,61.0778443113772,100,97.9564032697548
"30","Tank",435,152,99,2,2,281,231,65.1315789473684,100,82.2064056939502
"31","Tor Garh",762,321,147,11,8,430,357,45.7943925233645,72.7272727272727,83.0232558139535
"32","Upper Dir",1481,467,197,6,1,1008,842,42.1841541755889,16.6666666666667,83.531746031746
"33","Attock",1736,391,354,42,41,1303,1256,90.537084398977,97.6190476190476,96.392939370683
"34","Bahawalnagar",2879,911,698,205,187,1763,1461,76.6190998902305,91.219512195122,82.8701077708452
"35","Bahawalpur",3174,1106,628,85,84,1983,1720,56.7811934900542,98.8235294117647,86.737266767524
"36","Bhakhar",1871,601,266,14,14,1256,1192,44.2595673876872,100,94.9044585987261
"37","Chakwal",1979,453,352,313,307,1213,1102,77.7041942604857,98.0830670926518,90.8491343775763
"38","Chiniot",1467,503,427,10,10,954,920,84.8906560636183,100,96.4360587002096
"39","D. G. Khan",2541,994,943,459,442,1088,1039,94.8692152917505,96.2962962962963,95.4963235294118
"40","Faisalabad",3776,963,712,146,132,2667,2506,73.9356178608515,90.4109589041096,93.9632545931758
"41","Gujranwala",1889,471,335,47,40,1371,1239,71.1252653927813,85.1063829787234,90.3719912472648
"42","Gujrat",1960,427,235,103,95,1430,1379,55.0351288056206,92.2330097087379,96.4335664335664
"43","Hafizabad",1184,309,264,21,12,854,806,85.4368932038835,57.1428571428571,94.3793911007026
"44","Islamabad",822,37,34,96,96,689,661,91.8918918918919,100,95.9361393323657
"45","Jehlum",1445,286,195,166,165,993,910,68.1818181818182,99.3975903614458,91.6414904330312
"46","Jhang",2319,645,498,199,195,1475,1262,77.2093023255814,97.9899497487437,85.5593220338983
"47","Kasur",2494,592,484,121,105,1781,1559,81.7567567567568,86.7768595041322,87.5350926445817
"48","Khanewal",2508,655,471,263,188,1590,1428,71.9083969465649,71.4828897338403,89.811320754717
"49","Khushab",1505,424,163,119,113,962,887,38.4433962264151,94.9579831932773,92.2037422037422
"50","Layyah",845,290,97,61,51,494,481,33.448275862069,83.6065573770492,97.3684210526316
"51","Lodhran",1604,563,468,24,20,1017,980,83.1261101243339,83.3333333333333,96.361848574238
"52","Mandi Bahauddin",1247,256,66,87,79,904,851,25.78125,90.8045977011494,94.1371681415929
"53","Mianwali",1689,458,262,125,125,1106,809,57.2052401746725,100,73.1464737793852
