"","district","count","total_sick","percent_sick"
"1","Abbottabad",4541,486,10.7024884386699
"2","Bajur",7347,283,3.8519123451749
"3","Bannu",4379,589,13.4505594884677
"4","Batagram",3825,351,9.17647058823529
"5","Bunair",5182,646,12.4662292551139
"6","Charsada",7710,958,12.4254215304799
"7","Chitral",3379,132,3.90648120745783
"8","D. I. Khan",4337,213,4.91122896011068
"9","Hangu",4361,540,12.3824810823206
"10","Haripur",5178,389,7.51255310930861
"11","Karak",2586,189,7.30858468677494
"12","Khyber",5917,191,3.2279871556532
"13","Kohat",3878,247,6.36926250644662
"14","Kohistan",7627,742,9.72859577815655
"15","Kurram",4658,303,6.50493774151997
"16","Lakki Marwat",3123,350,11.2071725904579
"17","Lower Dir",9549,369,3.86427898209237
"18","Malakand",3073,252,8.2004555808656
"19","Mansehra",5717,407,7.11911841875109
"20","Mardan",8622,1116,12.9436325678497
"21","Mohmand",4251,340,7.99811808986121
"22","North Waziristan",3200,354,11.0625
"23","Nowshera",6357,746,11.735095170678
"24","Orakzai",2585,389,15.0483558994197
"25","Peshawar",11143,1024,9.18962577402854
"26","Shangla",3050,225,7.37704918032787
"27","South Waziristan",2636,221,8.38391502276176
"28","Swabi",7662,540,7.04776820673453
"29","Swat",4965,155,3.12185297079557
"30","Tank",1573,108,6.86586141131596
"31","Tor Garh",2365,188,7.9492600422833
"32","Upper Dir",7363,418,5.67703381773734
"33","Attock",6437,241,3.74398011496039
"34","Bahawalnagar",11580,907,7.83246977547496
"35","Bahawalpur",13611,1213,8.91190948497539
"36","Bhakhar",7390,459,6.21109607577808
"37","Chakwal",6041,340,5.62820725045522
"38","Chiniot",5220,446,8.54406130268199
"39","D. G. Khan",7634,595,7.79407911972753
"40","Faisalabad",14529,1311,9.02333264505472
"41","Gujranwala",8829,617,6.98833389964888
"42","Gujrat",8195,526,6.41854789505796
"43","Hafizabad",5167,239,4.62550803173989
"44","Islamabad",3547,203,5.72314632083451
"45","Jehlum",5489,296,5.39260338859537
"46","Jhang",9830,935,9.5116988809766
"47","Kasur",10425,664,6.36930455635492
"48","Khanewal",9682,341,3.52199958686222
"49","Khushab",5675,571,10.0616740088106
"50","Layyah",3333,340,10.2010201020102
"51","Lodhran",5752,342,5.94575799721836
"52","Mandi Bahauddin",4992,280,5.60897435897436
"53","Mianwali",5260,296,5.62737642585551
"54","Multan",11339,390,3.43945674221713
"55","Muzaffar Garh",14316,482,3.36686225202571
"56","Nankana Sahib",4843,244,5.03819946314268
"57","Narowal",8317,318,3.82349404833474
"58","Okara",6753,415,6.14541685176958
"59","Pakpattan",7157,426,5.95221461506218
"60","Rahim Yar Khan",12014,685,5.70168137173298
"61","Rajanpur",6699,490,7.31452455590387
"62","Rawalpindi",11703,637,5.44304879090831
"63","Sahiwal",8335,537,6.44271145770846
"64","Sargodha",11718,1072,9.14831882573818
"65","Sheikhupura",9635,908,9.42397509081474
"66","Sialkot",7867,248,3.15240879623745
"67","T.T. Singh",7542,808,10.7133386369663
"68","Vehari",6997,191,2.72974131770759
"69","Badin",4625,339,7.32972972972973
"70","Dadu",2674,7,0.261780104712042
"71","Ghotki",6270,561,8.94736842105263
"72","Hyderabad",1446,125,8.64453665283541
"73","Jacobabad",3736,66,1.76659528907923
"74","Jamshoro",2126,131,6.1618062088429
"75","Karachi Malir",2505,159,6.34730538922156
"76","Karachi West",465,68,14.6236559139785
"77","Kashmore",2504,251,10.0239616613419
"78","Khairpur",7908,321,4.05918057663126
"79","Larkana",3582,798,22.2780569514238
"80","Matiari",2502,277,11.0711430855316
"81","Mir Pur Khas",4813,139,2.88801163515479
"82","Nowshero Feroze",4499,308,6.84596577017115
"83","Sanghar",4698,224,4.76798637718178
"84","Shahdadkot",3288,717,21.8065693430657
"85","Shaheed Banazir Abad",4948,193,3.90056588520614
"86","Shikarpur",3759,73,1.94200585262038
"87","Sujawal",3613,323,8.93993910877387
"88","Sukkur",2901,197,6.7907618062737
"89","Tando Allah Yar",2510,220,8.76494023904383
"90","Tando Muhammad Khan",3254,387,11.8930547019053
"91","Tharparkar",4808,214,4.45091514143095
"92","Thatta",3882,460,11.8495620814013
"93","Umer Kot",2963,91,3.07121160985488
"94","Awaran",1617,0,0
"95","Barkhan",2758,260,9.42712110224801
"96","Dera Bugti",2417,51,2.11005378568473
"97","Duki",1129,162,14.3489813994686
"98","Gwadar",1300,85,6.53846153846154
"99","Harnai",2290,20,0.873362445414847
"100","Jaffarabad",2367,111,4.68948035487959
"101","Kachhi/ Bolan",2792,279,9.99283667621776
"102","Kalat",3389,181,5.34080849808203
"103","Kech/Turbat",3057,227,7.42558063460909
"104","Kharan",3044,180,5.91327201051248
"105","Khuzdar",4705,20,0.425079702444208
"106","Kohlu",449,25,5.56792873051225
"107","Lasbela",623,54,8.6677367576244
"108","Loralai",2480,139,5.60483870967742
"109","Mastung",2358,92,3.90161153519932
"110","Nasirabad/ Tamboo",2286,105,4.59317585301837
"111","Nushki",2250,104,4.62222222222222
"112","Pishin",4737,252,5.31982267257758
"113","Qilla Abdullah",3048,187,6.13517060367454
"114","Qilla Saifullah",4446,32,0.719748088169141
"115","Quetta",5084,232,4.5633359559402
"116","Shaheed Sikandar Abad",1351,109,8.0680977054034
"117","Sherani",867,58,6.68973471741638
"118","Sibbi",2500,107,4.28
"119","Sohbatpur",802,84,10.4738154613466
"120","Washuk",2566,212,8.26188620420888
"121","Ziarat",2293,38,1.65721761883995
