"","district","Total_Hospitals","Private_Hospital","Govt_Dispen","BHU_RHC","Other","Percent_Private_Hospitals","Percent_Govt_Hospitals","Percent_BHU_RHC","Percent_Others"
"1","Abbottabad",405,253,128,14,10,62.4691358024691,31.6049382716049,3.45679012345679,2.46913580246914
"2","Bajur",279,129,129,0,21,46.2365591397849,46.2365591397849,0,7.52688172043011
"3","Bannu",577,375,135,49,18,64.9913344887348,23.3968804159445,8.49220103986135,3.11958405545927
"4","Batagram",310,95,186,3,26,30.6451612903226,60,0.967741935483871,8.38709677419355
"5","Bunair",612,196,174,93,149,32.0261437908497,28.4313725490196,15.1960784313725,24.3464052287582
"6","Charsada",946,349,316,70,211,36.892177589852,33.4038054968288,7.39957716701903,22.3044397463002
"7","Chitral",128,28,78,21,1,21.875,60.9375,16.40625,0.78125
"8","D. I. Khan",209,101,65,31,12,48.3253588516746,31.1004784688995,14.8325358851675,5.74162679425837
"9","Hangu",476,212,82,41,141,44.5378151260504,17.2268907563025,8.61344537815126,29.6218487394958
"10","Haripur",367,264,68,23,12,71.9346049046322,18.5286103542234,6.26702997275204,3.26975476839237
"11","Karak",188,140,22,15,11,74.468085106383,11.7021276595745,7.97872340425532,5.85106382978723
"12","Khyber",189,40,149,0,0,21.1640211640212,78.8359788359788,0,0
"13","Kohat",212,108,33,23,48,50.9433962264151,15.5660377358491,10.8490566037736,22.6415094339623
"14","Kohistan",669,244,219,151,55,36.4723467862481,32.7354260089686,22.5710014947683,8.22122571001495
"15","Kurram",290,190,82,10,8,65.5172413793103,28.2758620689655,3.44827586206897,2.75862068965517
"16","Lakki Marwat",350,193,49,85,23,55.1428571428571,14,24.2857142857143,6.57142857142857
"17","Lower Dir",360,167,164,6,23,46.3888888888889,45.5555555555556,1.66666666666667,6.38888888888889
"18","Malakand",245,90,117,26,12,36.734693877551,47.7551020408163,10.6122448979592,4.89795918367347
"19","Mansehra",254,95,124,28,7,37.4015748031496,48.8188976377953,11.0236220472441,2.75590551181102
"20","Mardan",1072,489,266,27,290,45.615671641791,24.8134328358209,2.51865671641791,27.0522388059701
"21","Mohmand",325,94,58,41,132,28.9230769230769,17.8461538461538,12.6153846153846,40.6153846153846
"22","North Waziristan",354,317,37,0,0,89.5480225988701,10.4519774011299,0,0
"23","Nowshera",707,228,240,19,220,32.2489391796322,33.9462517680339,2.68741159830269,31.1173974540311
"24","Orakzai",387,181,91,29,86,46.7700258397933,23.5142118863049,7.49354005167959,22.2222222222222
"25","Peshawar",990,419,301,65,205,42.3232323232323,30.4040404040404,6.56565656565657,20.7070707070707
"26","Shangla",218,104,53,12,49,47.7064220183486,24.3119266055046,5.5045871559633,22.4770642201835
"27","South Waziristan",218,102,108,2,6,46.7889908256881,49.5412844036697,0.917431192660551,2.75229357798165
"28","Swabi",536,204,247,27,58,38.0597014925373,46.0820895522388,5.03731343283582,10.8208955223881
"29","Swat",153,64,70,9,10,41.8300653594771,45.7516339869281,5.88235294117647,6.5359477124183
"30","Tank",108,23,51,33,1,21.2962962962963,47.2222222222222,30.5555555555556,0.925925925925926
"31","Tor Garh",149,54,30,39,26,36.241610738255,20.1342281879195,26.1744966442953,17.4496644295302
"32","Upper Dir",416,144,208,23,41,34.6153846153846,50,5.52884615384615,9.85576923076923
"33","Attock",231,132,86,10,3,57.1428571428571,37.2294372294372,4.32900432900433,1.2987012987013
"34","Bahawalnagar",855,485,193,90,87,56.7251461988304,22.5730994152047,10.5263157894737,10.1754385964912
"35","Bahawalpur",1201,998,119,57,27,83.097418817652,9.90840965861782,4.74604496253122,2.248126561199
"36","Bhakhar",450,232,137,44,37,51.5555555555556,30.4444444444444,9.77777777777778,8.22222222222222
"37","Chakwal",330,168,122,29,11,50.9090909090909,36.969696969697,8.78787878787879,3.33333333333333
"38","Chiniot",436,307,77,37,15,70.4128440366973,17.6605504587156,8.48623853211009,3.44036697247706
"39","D. G. Khan",588,393,162,10,23,66.8367346938776,27.5510204081633,1.70068027210884,3.91156462585034
"40","Faisalabad",1275,957,220,42,56,75.0588235294118,17.2549019607843,3.29411764705882,4.3921568627451
"41","Gujranwala",606,398,146,46,16,65.6765676567657,24.0924092409241,7.59075907590759,2.64026402640264
"42","Gujrat",513,328,90,79,16,63.9376218323587,17.5438596491228,15.3996101364522,3.11890838206628
"43","Hafizabad",231,148,67,13,3,64.0692640692641,29.004329004329,5.62770562770563,1.2987012987013
"44","Islamabad",194,122,66,1,5,62.8865979381443,34.020618556701,0.515463917525773,2.57731958762887
"45","Jehlum",283,130,120,13,20,45.9363957597173,42.4028268551237,4.59363957597173,7.06713780918728
"46","Jhang",894,666,159,8,61,74.496644295302,17.7852348993289,0.894854586129754,6.82326621923937
