"","district","Total_response","Satisfied","Staff_lackness","Other","Percent_Satisfied","Percent_Staff_lackness","Percent_Other_problems"
"1","Abbottabad",405,272,11,122,67.1604938271605,2.71604938271605,30.1234567901235
"2","Bajur",279,124,23,132,44.4444444444444,8.24372759856631,47.3118279569892
"3","Bannu",577,374,21,182,64.8180242634315,3.63951473136915,31.5424610051993
"4","Batagram",310,108,10,192,34.8387096774194,3.2258064516129,61.9354838709677
"5","Bunair",612,563,26,23,91.9934640522876,4.2483660130719,3.75816993464052
"6","Charsada",946,771,36,139,81.5010570824524,3.80549682875264,14.6934460887949
"7","Chitral",128,78,35,15,60.9375,27.34375,11.71875
"8","D. I. Khan",209,164,10,35,78.4688995215311,4.78468899521531,16.7464114832536
"9","Hangu",476,370,3,103,77.7310924369748,0.630252100840336,21.6386554621849
"10","Haripur",367,149,13,205,40.5994550408719,3.54223433242507,55.858310626703
"11","Karak",188,141,2,45,75,1.06382978723404,23.936170212766
"12","Khyber",189,124,3,62,65.6084656084656,1.58730158730159,32.8042328042328
"13","Kohat",212,145,3,64,68.3962264150943,1.41509433962264,30.188679245283
"14","Kohistan",669,412,26,231,61.5844544095665,3.8863976083707,34.5291479820628
"15","Kurram",290,211,32,47,72.7586206896552,11.0344827586207,16.2068965517241
"16","Lakki Marwat",350,238,8,104,68,2.28571428571429,29.7142857142857
"17","Lower Dir",360,275,29,56,76.3888888888889,8.05555555555556,15.5555555555556
"18","Malakand",245,164,18,63,66.9387755102041,7.34693877551021,25.7142857142857
"19","Mansehra",254,207,14,33,81.496062992126,5.51181102362205,12.992125984252
"20","Mardan",1072,903,13,156,84.2350746268657,1.21268656716418,14.5522388059702
"21","Mohmand",325,253,15,57,77.8461538461538,4.61538461538462,17.5384615384615
"22","North Waziristan",354,165,6,183,46.6101694915254,1.69491525423729,51.6949152542373
"23","Nowshera",707,634,24,49,89.6746817538897,3.39462517680339,6.93069306930693
"24","Orakzai",387,288,31,68,74.4186046511628,8.01033591731266,17.5710594315245
"25","Peshawar",990,783,45,162,79.0909090909091,4.54545454545455,16.3636363636364
"26","Shangla",218,114,9,95,52.2935779816514,4.12844036697248,43.5779816513761
"27","South Waziristan",218,162,49,7,74.3119266055046,22.4770642201835,3.21100917431193
"28","Swabi",536,331,67,138,61.7537313432836,12.5,25.7462686567164
"29","Swat",153,114,10,29,74.5098039215686,6.5359477124183,18.9542483660131
"30","Tank",108,81,10,17,75,9.25925925925926,15.7407407407407
"31","Tor Garh",149,122,8,19,81.8791946308725,5.36912751677852,12.751677852349
"32","Upper Dir",416,283,64,69,68.0288461538462,15.3846153846154,16.5865384615385
"33","Attock",231,195,9,27,84.4155844155844,3.8961038961039,11.6883116883117
"34","Bahawalnagar",855,530,31,294,61.9883040935673,3.62573099415205,34.3859649122807
"35","Bahawalpur",1201,1045,1,155,87.0108243130724,0.0832639467110741,12.9059117402165
"36","Bhakhar",450,308,2,140,68.4444444444444,0.444444444444444,31.1111111111111
"37","Chakwal",330,246,7,77,74.5454545454545,2.12121212121212,23.3333333333333
"38","Chiniot",436,406,7,23,93.1192660550459,1.60550458715596,5.27522935779817
"39","D. G. Khan",588,520,20,48,88.4353741496599,3.40136054421769,8.16326530612245
"40","Faisalabad",1275,1019,27,229,79.921568627451,2.11764705882353,17.9607843137255
"41","Gujranwala",606,490,11,105,80.8580858085809,1.81518151815182,17.3267326732673
"42","Gujrat",513,443,13,57,86.35477582846,2.53411306042885,11.1111111111111
"43","Hafizabad",231,204,5,22,88.3116883116883,2.16450216450216,9.52380952380952
"44","Islamabad",194,162,2,30,83.5051546391753,1.03092783505155,15.4639175257732
"45","Jehlum",283,195,9,79,68.904593639576,3.18021201413428,27.9151943462898
"46","Jhang",894,629,7,258,70.3579418344519,0.782997762863535,28.8590604026846
"47","Kasur",633,502,11,120,79.304897314376,1.73775671406003,18.957345971564
"48","Khanewal",332,244,12,76,73.4939759036145,3.6144578313253,22.8915662650602
"49","Khushab",537,416,3,118,77.4674115456238,0.558659217877095,21.9739292364991
"50","Layyah",339,275,2,62,81.1209439528024,0.589970501474926,18.2890855457227
"51","Lodhran",336,269,7,60,80.0595238095238,2.08333333333333,17.8571428571429
"52","Mandi Bahauddin",275,241,5,29,87.6363636363636,1.81818181818182,10.5454545454545
"53","Mianwali",289,220,11,58,76.1245674740484,3.80622837370242,20.0692041522491
"54","Multan",372,282,9,81,75.8064516129032,2.41935483870968,21.7741935483871
"55","Muzaffar Garh",467,353,48,66,75.5888650963598,10.2783725910064,14.1327623126338
"56","Nankana Sahib",234,212,6,16,90.5982905982906,2.56410256410256,6.83760683760684
"57","Narowal",311,221,3,87,71.0610932475884,0.964630225080386,27.9742765273312
"58","Okara",403,311,13,79,77.1712158808933,3.2258064516129,19.6029776674938
"59","Pakpattan",406,302,22,82,74.384236453202,5.41871921182266,20.1970443349754
"60","Rahim Yar Khan",666,406,5,255,60.960960960961,0.750750750750751,38.2882882882883
"61","Rajanpur",487,452,10,25,92.8131416837782,2.05338809034908,5.13347022587269
"62","Rawalpindi",597,437,14,146,73.1993299832496,2.34505862646566,24.4556113902848
