"","district","count","total_BCG","percent_BCG"
"1","Abbottabad",552,544,98.5507246376812
"2","Bajur",1264,980,77.5316455696203
"3","Bannu",505,410,81.1881188118812
"4","Batagram",532,426,80.0751879699248
"5","Bunair",753,688,91.3678618857902
"6","Charsada",1057,1017,96.2157048249763
"7","Chitral",339,324,95.5752212389381
"8","D. I. Khan",316,239,75.6329113924051
"9","Hangu",587,509,86.7120954003407
"10","Haripur",547,536,97.9890310786106
"11","Karak",192,148,77.0833333333333
"12","Khyber",777,716,92.1492921492922
"13","Kohat",418,348,83.2535885167464
"14","Kohistan",1261,737,58.4456780333069
"15","Kurram",713,587,82.328190743338
"16","Lakki Marwat",334,269,80.5389221556886
"17","Lower Dir",1269,1188,93.6170212765958
"18","Malakand",356,352,98.876404494382
"19","Mansehra",736,710,96.4673913043478
"20","Mardan",1223,1202,98.2829108748978
"21","Mohmand",670,553,82.5373134328358
"22","North Waziristan",362,238,65.7458563535912
"23","Nowshera",817,797,97.5520195838433
"24","Orakzai",384,380,98.9583333333333
"25","Peshawar",1532,1495,97.5848563968668
"26","Shangla",497,331,66.5995975855131
"27","South Waziristan",252,163,64.6825396825397
"28","Swabi",935,918,98.1818181818182
"29","Swat",593,579,97.6391231028668
"30","Tank",111,86,77.4774774774775
"31","Tor Garh",299,242,80.9364548494983
"32","Upper Dir",1026,968,94.3469785575049
"33","Attock",676,667,98.6686390532544
"34","Bahawalnagar",1432,1366,95.391061452514
"35","Bahawalpur",1926,1767,91.7445482866044
"36","Bhakhar",887,855,96.3923337091319
"37","Chakwal",617,600,97.2447325769854
"38","Chiniot",665,642,96.5413533834587
"39","D. G. Khan",1213,1062,87.5515251442704
"40","Faisalabad",1681,1590,94.5865556216538
"41","Gujranwala",995,969,97.3869346733668
"42","Gujrat",758,746,98.4168865435356
"43","Hafizabad",511,498,97.4559686888454
"44","Islamabad",418,409,97.8468899521531
"45","Jehlum",573,551,96.1605584642234
"46","Jhang",1233,1184,96.0259529602595
"47","Kasur",1185,1077,90.8860759493671
"48","Khanewal",1184,1078,91.0472972972973
"49","Khushab",559,550,98.3899821109123
"50","Layyah",431,429,99.5359628770302
"51","Lodhran",571,554,97.0227670753065
"52","Mandi Bahauddin",499,483,96.7935871743487
"53","Mianwali",697,679,97.4175035868006
"54","Multan",1357,1260,92.8518791451732
"55","Muzaffar Garh",1856,1741,93.8038793103448
"56","Nankana Sahib",556,504,90.6474820143885
"57","Narowal",1110,1099,99.009009009009
"58","Okara",804,768,95.5223880597015
"59","Pakpattan",913,753,82.4753559693319
"60","Rahim Yar Khan",1561,1473,94.3625880845612
"61","Rajanpur",1038,949,91.4258188824663
"62","Rawalpindi",1158,1136,98.1001727115717
"63","Sahiwal",996,811,81.425702811245
"64","Sargodha",1307,1274,97.4751338944147
"65","Sheikhupura",1107,1067,96.386630532972
"66","Sialkot",967,955,98.7590486039297
"67","T.T. Singh",872,856,98.1651376146789
"68","Vehari",908,902,99.3392070484581
"69","Badin",654,454,69.4189602446483
"70","Dadu",331,321,96.9788519637462
"71","Ghotki",792,671,84.7222222222222
"72","Hyderabad",155,89,57.4193548387097
"73","Jacobabad",690,667,96.6666666666667
"74","Jamshoro",243,183,75.3086419753086
"75","Karachi Malir",169,151,89.3491124260355
"76","Karachi West",51,48,94.1176470588235
"77","Kashmore",515,397,77.0873786407767
"78","Khairpur",1184,1097,92.652027027027
"79","Larkana",170,159,93.5294117647059
"80","Matiari",304,256,84.2105263157895
"81","Mir Pur Khas",685,366,53.4306569343066
"82","Nowshero Feroze",456,451,98.9035087719298
"83","Sanghar",749,694,92.6568758344459
"84","Shahdadkot",234,218,93.1623931623932
"85","Shaheed Banazir Abad",764,679,88.8743455497382
"86","Shikarpur",487,455,93.429158110883
"87","Sujawal",393,247,62.8498727735369
"88","Sukkur",364,275,75.5494505494505
"89","Tando Allah Yar",344,234,68.0232558139535
"90","Tando Muhammad Khan",484,296,61.1570247933884
"91","Tharparkar",639,203,31.7683881064163
"92","Thatta",432,329,76.1574074074074
"93","Umer Kot",417,192,46.0431654676259
"94","Awaran",255,34,13.3333333333333
"95","Barkhan",299,289,96.6555183946488
"96","Dera Bugti",273,237,86.8131868131868
"97","Duki",194,172,88.659793814433
"98","Gwadar",145,123,84.8275862068966
"99","Harnai",197,118,59.8984771573604
"100","Jaffarabad",420,358,85.2380952380952
"101","Kachhi/ Bolan",314,270,85.9872611464968
"102","Kalat",357,243,68.0672268907563
"103","Kech/Turbat",336,278,82.7380952380952
"104","Kharan",484,362,74.7933884297521
"105","Khuzdar",722,123,17.0360110803324
"106","Kohlu",24,19,79.1666666666667
"107","Lasbela",60,41,68.3333333333333
"108","Loralai",314,270,85.9872611464968
"109","Mastung",244,189,77.4590163934426
"110","Nasirabad/ Tamboo",382,328,85.8638743455497
"111","Nushki",293,247,84.3003412969283
"112","Pishin",577,450,77.9896013864818
"113","Qilla Abdullah",403,129,32.0099255583127
"114","Qilla Saifullah",562,210,37.3665480427046
"115","Quetta",650,437,67.2307692307692
"116","Shaheed Sikandar Abad",136,124,91.1764705882353
"117","Sherani",165,92,55.7575757575758
"118","Sibbi",283,235,83.0388692579505
"119","Sohbatpur",184,154,83.695652173913
"120","Washuk",340,214,62.9411764705882
"121","Ziarat",199,118,59.2964824120603
