"","district","count","total_IPV","percent_IPV"
"1","Abbottabad",552,487,88.2246376811594
"2","Bajur",1264,922,72.9430379746835
"3","Bannu",505,359,71.0891089108911
"4","Batagram",532,400,75.187969924812
"5","Bunair",753,611,81.1420982735724
"6","Charsada",1057,928,87.7956480605487
"7","Chitral",339,301,88.7905604719764
"8","D. I. Khan",316,229,72.4683544303797
"9","Hangu",587,472,80.4088586030664
"10","Haripur",547,496,90.6764168190128
"11","Karak",192,137,71.3541666666667
"12","Khyber",777,631,81.2097812097812
"13","Kohat",418,296,70.8133971291866
"14","Kohistan",1261,649,51.4670896114195
"15","Kurram",713,565,79.2426367461431
"16","Lakki Marwat",334,247,73.9520958083832
"17","Lower Dir",1269,1119,88.1796690307329
"18","Malakand",356,331,92.9775280898876
"19","Mansehra",736,620,84.2391304347826
"20","Mardan",1223,1080,88.3074407195421
"21","Mohmand",670,516,77.0149253731343
"22","North Waziristan",362,237,65.4696132596685
"23","Nowshera",817,718,87.8824969400245
"24","Orakzai",384,363,94.53125
"25","Peshawar",1532,1360,88.7728459530026
"26","Shangla",497,267,53.7223340040241
"27","South Waziristan",252,157,62.3015873015873
"28","Swabi",935,853,91.2299465240642
"29","Swat",593,549,92.5801011804384
"30","Tank",111,84,75.6756756756757
"31","Tor Garh",299,222,74.247491638796
"32","Upper Dir",1026,935,91.130604288499
"33","Attock",676,595,88.0177514792899
"34","Bahawalnagar",1432,1149,80.2374301675978
"35","Bahawalpur",1926,1611,83.6448598130841
"36","Bhakhar",887,741,83.5400225479143
"37","Chakwal",617,544,88.1685575364668
"38","Chiniot",665,544,81.8045112781955
"39","D. G. Khan",1213,1005,82.8524319868096
"40","Faisalabad",1681,1329,79.0600832837597
"41","Gujranwala",995,872,87.6381909547739
"42","Gujrat",758,687,90.6332453825857
"43","Hafizabad",511,471,92.1722113502935
"44","Islamabad",418,364,87.0813397129187
"45","Jehlum",573,410,71.5532286212915
"46","Jhang",1233,1080,87.5912408759124
"47","Kasur",1185,931,78.5654008438819
"48","Khanewal",1184,869,73.3952702702703
"49","Khushab",559,475,84.9731663685152
"50","Layyah",431,396,91.8793503480278
"51","Lodhran",571,500,87.5656742556918
"52","Mandi Bahauddin",499,445,89.1783567134269
"53","Mianwali",697,621,89.0961262553802
"54","Multan",1357,1115,82.1665438467207
"55","Muzaffar Garh",1856,1526,82.2198275862069
"56","Nankana Sahib",556,449,80.7553956834532
"57","Narowal",1110,954,85.945945945946
"58","Okara",804,655,81.4676616915423
"59","Pakpattan",913,639,69.9890470974808
"60","Rahim Yar Khan",1561,1243,79.6284433055733
"61","Rajanpur",1038,890,85.7418111753372
"62","Rawalpindi",1158,1008,87.0466321243523
"63","Sahiwal",996,749,75.2008032128514
"64","Sargodha",1307,1119,85.6159143075746
"65","Sheikhupura",1107,941,85.0045167118338
"66","Sialkot",967,831,85.9358841778697
"67","T.T. Singh",872,782,89.6788990825688
"68","Vehari",908,843,92.84140969163
"69","Badin",654,419,64.0672782874618
"70","Dadu",331,296,89.4259818731118
"71","Ghotki",792,619,78.1565656565657
"72","Hyderabad",155,82,52.9032258064516
"73","Jacobabad",690,633,91.7391304347826
"74","Jamshoro",243,160,65.843621399177
"75","Karachi Malir",169,104,61.5384615384615
"76","Karachi West",51,40,78.4313725490196
"77","Kashmore",515,297,57.6699029126214
"78","Khairpur",1184,964,81.4189189189189
"79","Larkana",170,93,54.7058823529412
"80","Matiari",304,236,77.6315789473684
"81","Mir Pur Khas",685,248,36.2043795620438
"82","Nowshero Feroze",456,413,90.5701754385965
"83","Sanghar",749,627,83.7116154873164
"84","Shahdadkot",234,125,53.4188034188034
"85","Shaheed Banazir Abad",764,569,74.4764397905759
"86","Shikarpur",487,160,32.8542094455852
"87","Sujawal",393,157,39.9491094147583
"88","Sukkur",364,245,67.3076923076923
"89","Tando Allah Yar",344,202,58.7209302325581
"90","Tando Muhammad Khan",484,251,51.8595041322314
"91","Tharparkar",639,132,20.6572769953052
"92","Thatta",432,217,50.2314814814815
"93","Umer Kot",417,157,37.6498800959233
"94","Awaran",255,34,13.3333333333333
"95","Barkhan",299,59,19.7324414715719
"96","Dera Bugti",273,233,85.3479853479853
"97","Duki",194,43,22.1649484536082
"98","Gwadar",145,113,77.9310344827586
"99","Harnai",197,81,41.1167512690355
"100","Jaffarabad",420,345,82.1428571428571
"101","Kachhi/ Bolan",314,264,84.0764331210191
"102","Kalat",357,238,66.6666666666667
"103","Kech/Turbat",336,275,81.8452380952381
"104","Kharan",484,349,72.1074380165289
"105","Khuzdar",722,116,16.0664819944598
"106","Kohlu",24,16,66.6666666666667
"107","Lasbela",60,27,45
"108","Loralai",314,109,34.7133757961783
"109","Mastung",244,177,72.5409836065574
"110","Nasirabad/ Tamboo",382,304,79.5811518324607
"111","Nushki",293,237,80.8873720136519
"112","Pishin",577,412,71.4038128249567
"113","Qilla Abdullah",403,127,31.5136476426799
"114","Qilla Saifullah",562,194,34.5195729537367
"115","Quetta",650,405,62.3076923076923
"116","Shaheed Sikandar Abad",136,122,89.7058823529412
"117","Sherani",165,12,7.27272727272727
"118","Sibbi",283,269,95.0530035335689
"119","Sohbatpur",184,145,78.804347826087
"120","Washuk",340,199,58.5294117647059
"121","Ziarat",199,111,55.7788944723618
