"","district","count","diarr_consultation","percent_diarr_consultation"
"1","Abbottabad",552,8,1.44927536231884
"2","Bajur",1264,60,4.74683544303798
"3","Bannu",505,64,12.6732673267327
"4","Batagram",532,47,8.83458646616541
"5","Bunair",753,25,3.32005312084993
"6","Charsada",1057,53,5.01419110690634
"7","Chitral",339,15,4.42477876106195
"8","D. I. Khan",316,19,6.0126582278481
"9","Hangu",587,37,6.30323679727428
"10","Haripur",547,15,2.74223034734918
"11","Karak",192,3,1.5625
"12","Khyber",777,77,9.90990990990991
"13","Kohat",418,5,1.19617224880383
"14","Kohistan",1261,46,3.64789849325932
"15","Kurram",713,49,6.87237026647966
"16","Lakki Marwat",334,16,4.79041916167665
"17","Lower Dir",1269,45,3.54609929078014
"18","Malakand",356,29,8.14606741573034
"19","Mansehra",736,32,4.34782608695652
"20","Mardan",1223,60,4.90596892886345
"21","Mohmand",670,16,2.38805970149254
"22","North Waziristan",362,13,3.59116022099448
"23","Nowshera",817,46,5.63035495716034
"24","Orakzai",384,24,6.25
"25","Peshawar",1532,101,6.59268929503916
"26","Shangla",497,19,3.82293762575453
"27","South Waziristan",252,46,18.2539682539683
"28","Swabi",935,33,3.52941176470588
"29","Swat",593,4,0.674536256323777
"30","Tank",111,12,10.8108108108108
"31","Tor Garh",299,4,1.33779264214047
"32","Upper Dir",1026,81,7.89473684210526
"33","Attock",676,10,1.4792899408284
"34","Bahawalnagar",1432,61,4.25977653631285
"35","Bahawalpur",1926,197,10.2284527518172
"36","Bhakhar",887,35,3.94588500563698
"37","Chakwal",617,28,4.53808752025932
"38","Chiniot",665,37,5.56390977443609
"39","D. G. Khan",1213,186,15.3338829348722
"40","Faisalabad",1681,67,3.98572278405711
"41","Gujranwala",995,32,3.21608040201005
"42","Gujrat",758,8,1.05540897097625
"43","Hafizabad",511,13,2.5440313111546
"44","Islamabad",418,15,3.58851674641148
"45","Jehlum",573,45,7.85340314136126
"46","Jhang",1233,79,6.40713706407137
"47","Kasur",1185,41,3.45991561181435
"48","Khanewal",1184,158,13.3445945945946
"49","Khushab",559,22,3.93559928443649
"50","Layyah",431,67,15.5452436194896
"51","Lodhran",571,24,4.2031523642732
"52","Mandi Bahauddin",499,12,2.40480961923848
"53","Mianwali",697,39,5.59540889526542
"54","Multan",1357,92,6.77966101694915
"55","Muzaffar Garh",1856,52,2.80172413793103
"56","Nankana Sahib",556,7,1.2589928057554
"57","Narowal",1110,13,1.17117117117117
"58","Okara",804,63,7.83582089552239
"59","Pakpattan",913,79,8.65279299014239
"60","Rahim Yar Khan",1561,36,2.30621396540679
"61","Rajanpur",1038,158,15.2215799614644
"62","Rawalpindi",1158,33,2.84974093264249
"63","Sahiwal",996,100,10.0401606425703
"64","Sargodha",1307,43,3.28997704667177
"65","Sheikhupura",1107,37,3.3423667570009
"66","Sialkot",967,8,0.827300930713547
"67","T.T. Singh",872,29,3.3256880733945
"68","Vehari",908,24,2.6431718061674
"69","Badin",654,32,4.89296636085627
"70","Dadu",331,0,0
"71","Ghotki",792,68,8.58585858585858
"72","Hyderabad",155,15,9.67741935483871
"73","Jacobabad",690,32,4.63768115942029
"74","Jamshoro",243,17,6.99588477366255
"75","Karachi Malir",169,20,11.8343195266272
"76","Karachi West",51,18,35.2941176470588
"77","Kashmore",515,79,15.3398058252427
"78","Khairpur",1184,159,13.4290540540541
"79","Larkana",170,33,19.4117647058824
"80","Matiari",304,17,5.59210526315789
"81","Mir Pur Khas",685,7,1.02189781021898
"82","Nowshero Feroze",456,21,4.60526315789474
"83","Sanghar",749,17,2.26969292389853
"84","Shahdadkot",234,42,17.9487179487179
"85","Shaheed Banazir Abad",764,21,2.74869109947644
"86","Shikarpur",487,22,4.51745379876797
"87","Sujawal",393,12,3.05343511450382
"88","Sukkur",364,31,8.51648351648352
"89","Tando Allah Yar",344,31,9.01162790697674
"90","Tando Muhammad Khan",484,51,10.5371900826446
"91","Tharparkar",639,21,3.28638497652582
"92","Thatta",432,36,8.33333333333333
"93","Umer Kot",417,11,2.6378896882494
"94","Awaran",255,3,1.17647058823529
"95","Barkhan",299,15,5.01672240802676
"96","Dera Bugti",273,1,0.366300366300366
"97","Duki",194,26,13.4020618556701
"98","Gwadar",145,16,11.0344827586207
"99","Harnai",197,1,0.50761421319797
"100","Jaffarabad",420,11,2.61904761904762
"101","Kachhi/ Bolan",314,22,7.00636942675159
"102","Kalat",357,21,5.88235294117647
"103","Kech/Turbat",336,56,16.6666666666667
"104","Kharan",484,50,10.3305785123967
"105","Khuzdar",722,12,1.66204986149584
"106","Kohlu",24,1,4.16666666666667
"107","Lasbela",60,5,8.33333333333333
"108","Loralai",314,20,6.36942675159236
"109","Mastung",244,16,6.55737704918033
"110","Nasirabad/ Tamboo",382,32,8.37696335078534
"111","Nushki",293,31,10.580204778157
"112","Pishin",577,15,2.59965337954939
"113","Qilla Abdullah",403,5,1.24069478908189
"114","Qilla Saifullah",562,13,2.31316725978648
"115","Quetta",650,26,4
"116","Shaheed Sikandar Abad",136,9,6.61764705882353
"117","Sherani",165,16,9.6969696969697
"118","Sibbi",283,3,1.06007067137809
"119","Sohbatpur",184,2,1.08695652173913
"120","Washuk",340,58,17.0588235294118
"121","Ziarat",199,3,1.50753768844221
