"","district","count","diarr_suff","percent_diarr_suff"
"1","Abbottabad",552,13,2.35507246376812
"2","Bajur",1264,69,5.45886075949367
"3","Bannu",505,81,16.039603960396
"4","Batagram",532,56,10.5263157894737
"5","Bunair",753,30,3.98406374501992
"6","Charsada",1057,56,5.29801324503311
"7","Chitral",339,21,6.19469026548673
"8","D. I. Khan",316,20,6.32911392405063
"9","Hangu",587,37,6.30323679727428
"10","Haripur",547,16,2.92504570383912
"11","Karak",192,5,2.60416666666667
"12","Khyber",777,79,10.1673101673102
"13","Kohat",418,7,1.67464114832536
"14","Kohistan",1261,60,4.75812846946868
"15","Kurram",713,49,6.87237026647966
"16","Lakki Marwat",334,18,5.38922155688623
"17","Lower Dir",1269,58,4.57052797478329
"18","Malakand",356,36,10.1123595505618
"19","Mansehra",736,35,4.7554347826087
"20","Mardan",1223,60,4.90596892886345
"21","Mohmand",670,17,2.53731343283582
"22","North Waziristan",362,15,4.14364640883978
"23","Nowshera",817,48,5.87515299877601
"24","Orakzai",384,25,6.51041666666667
"25","Peshawar",1532,108,7.04960835509138
"26","Shangla",497,22,4.42655935613682
"27","South Waziristan",252,47,18.6507936507937
"28","Swabi",935,34,3.63636363636364
"29","Swat",593,7,1.18043844856661
"30","Tank",111,13,11.7117117117117
"31","Tor Garh",299,5,1.67224080267559
"32","Upper Dir",1026,87,8.47953216374269
"33","Attock",676,14,2.07100591715976
"34","Bahawalnagar",1432,65,4.5391061452514
"35","Bahawalpur",1926,199,10.3322949117342
"36","Bhakhar",887,37,4.17136414881623
"37","Chakwal",617,32,5.18638573743922
"38","Chiniot",665,41,6.16541353383459
"39","D. G. Khan",1213,196,16.1582852431987
"40","Faisalabad",1681,71,4.22367638310529
"41","Gujranwala",995,41,4.12060301507538
"42","Gujrat",758,9,1.18733509234828
"43","Hafizabad",511,15,2.93542074363992
"44","Islamabad",418,16,3.82775119617225
"45","Jehlum",573,49,8.55148342059337
"46","Jhang",1233,84,6.81265206812652
"47","Kasur",1185,46,3.88185654008439
"48","Khanewal",1184,173,14.6114864864865
"49","Khushab",559,24,4.29338103756708
"50","Layyah",431,81,18.7935034802784
"51","Lodhran",571,26,4.55341506129597
"52","Mandi Bahauddin",499,14,2.80561122244489
"53","Mianwali",697,41,5.88235294117647
"54","Multan",1357,126,9.28518791451732
"55","Muzaffar Garh",1856,66,3.55603448275862
"56","Nankana Sahib",556,9,1.61870503597122
"57","Narowal",1110,20,1.8018018018018
"58","Okara",804,67,8.33333333333333
"59","Pakpattan",913,86,9.41949616648412
"60","Rahim Yar Khan",1561,38,2.43433696348495
"61","Rajanpur",1038,175,16.859344894027
"62","Rawalpindi",1158,38,3.28151986183074
"63","Sahiwal",996,107,10.7429718875502
"64","Sargodha",1307,45,3.44299923488906
"65","Sheikhupura",1107,40,3.613369467028
"66","Sialkot",967,8,0.827300930713547
"67","T.T. Singh",872,29,3.3256880733945
"68","Vehari",908,30,3.30396475770925
"69","Badin",654,37,5.65749235474006
"70","Dadu",331,1,0.302114803625378
"71","Ghotki",792,75,9.46969696969697
"72","Hyderabad",155,16,10.3225806451613
"73","Jacobabad",690,41,5.94202898550725
"74","Jamshoro",243,18,7.40740740740741
"75","Karachi Malir",169,20,11.8343195266272
"76","Karachi West",51,21,41.1764705882353
"77","Kashmore",515,81,15.7281553398058
"78","Khairpur",1184,170,14.3581081081081
"79","Larkana",170,33,19.4117647058824
"80","Matiari",304,20,6.57894736842105
"81","Mir Pur Khas",685,7,1.02189781021898
"82","Nowshero Feroze",456,21,4.60526315789474
"83","Sanghar",749,18,2.40320427236315
"84","Shahdadkot",234,43,18.3760683760684
"85","Shaheed Banazir Abad",764,24,3.1413612565445
"86","Shikarpur",487,27,5.54414784394251
"87","Sujawal",393,28,7.12468193384224
"88","Sukkur",364,32,8.79120879120879
"89","Tando Allah Yar",344,34,9.88372093023256
"90","Tando Muhammad Khan",484,55,11.3636363636364
"91","Tharparkar",639,21,3.28638497652582
"92","Thatta",432,49,11.3425925925926
"93","Umer Kot",417,11,2.6378896882494
"94","Awaran",255,5,1.96078431372549
"95","Barkhan",299,17,5.68561872909699
"96","Dera Bugti",273,2,0.732600732600733
"97","Duki",194,29,14.9484536082474
"98","Gwadar",145,16,11.0344827586207
"99","Harnai",197,4,2.03045685279188
"100","Jaffarabad",420,11,2.61904761904762
"101","Kachhi/ Bolan",314,24,7.64331210191083
"102","Kalat",357,23,6.44257703081232
"103","Kech/Turbat",336,58,17.2619047619048
"104","Kharan",484,61,12.603305785124
"105","Khuzdar",722,20,2.77008310249307
"106","Kohlu",24,1,4.16666666666667
"107","Lasbela",60,6,10
"108","Loralai",314,25,7.96178343949045
"109","Mastung",244,22,9.01639344262295
"110","Nasirabad/ Tamboo",382,44,11.5183246073298
"111","Nushki",293,36,12.2866894197952
"112","Pishin",577,19,3.29289428076256
"113","Qilla Abdullah",403,9,2.23325062034739
"114","Qilla Saifullah",562,15,2.66903914590747
"115","Quetta",650,36,5.53846153846154
"116","Shaheed Sikandar Abad",136,10,7.35294117647059
"117","Sherani",165,16,9.6969696969697
"118","Sibbi",283,3,1.06007067137809
"119","Sohbatpur",184,2,1.08695652173913
"120","Washuk",340,62,18.2352941176471
"121","Ziarat",199,3,1.50753768844221
