"","district","count","total_immunised","percent_immunized"
"1","Abbottabad",552,549,99.4565217391304
"2","Bajur",1264,1237,97.8639240506329
"3","Bannu",505,466,92.2772277227723
"4","Batagram",532,496,93.2330827067669
"5","Bunair",753,745,98.937583001328
"6","Charsada",1057,1035,97.918637653737
"7","Chitral",339,338,99.7050147492625
"8","D. I. Khan",316,297,93.9873417721519
"9","Hangu",587,586,99.8296422487223
"10","Haripur",547,543,99.2687385740402
"11","Karak",192,158,82.2916666666667
"12","Khyber",777,759,97.6833976833977
"13","Kohat",418,412,98.5645933014354
"14","Kohistan",1261,1222,96.9072164948454
"15","Kurram",713,699,98.0364656381487
"16","Lakki Marwat",334,301,90.1197604790419
"17","Lower Dir",1269,1233,97.1631205673759
"18","Malakand",356,356,100
"19","Mansehra",736,733,99.5923913043478
"20","Mardan",1223,1212,99.1005723630417
"21","Mohmand",670,663,98.955223880597
"22","North Waziristan",362,307,84.8066298342541
"23","Nowshera",817,809,99.0208078335373
"24","Orakzai",384,384,100
"25","Peshawar",1532,1515,98.8903394255875
"26","Shangla",497,492,98.9939637826962
"27","South Waziristan",252,245,97.2222222222222
"28","Swabi",935,930,99.4652406417112
"29","Swat",593,588,99.1568296795953
"30","Tank",111,106,95.4954954954955
"31","Tor Garh",299,262,87.6254180602007
"32","Upper Dir",1026,992,96.6861598440546
"33","Attock",676,670,99.1124260355029
"34","Bahawalnagar",1432,1387,96.8575418994413
"35","Bahawalpur",1926,1859,96.521287642783
"36","Bhakhar",887,864,97.4069898534385
"37","Chakwal",617,602,97.5688816855754
"38","Chiniot",665,644,96.8421052631579
"39","D. G. Khan",1213,1122,92.4979389942292
"40","Faisalabad",1681,1594,94.824509220702
"41","Gujranwala",995,974,97.8894472361809
"42","Gujrat",758,746,98.4168865435356
"43","Hafizabad",511,499,97.6516634050881
"44","Islamabad",418,410,98.0861244019139
"45","Jehlum",573,563,98.2547993019197
"46","Jhang",1233,1195,96.9180859691809
"47","Kasur",1185,1118,94.3459915611814
"48","Khanewal",1184,1100,92.9054054054054
"49","Khushab",559,551,98.5688729874776
"50","Layyah",431,429,99.5359628770302
"51","Lodhran",571,560,98.0735551663748
"52","Mandi Bahauddin",499,486,97.3947895791583
"53","Mianwali",697,684,98.1348637015782
"54","Multan",1357,1318,97.1260132645542
"55","Muzaffar Garh",1856,1824,98.2758620689655
"56","Nankana Sahib",556,546,98.2014388489209
"57","Narowal",1110,1103,99.3693693693694
"58","Okara",804,798,99.2537313432836
"59","Pakpattan",913,900,98.5761226725082
"60","Rahim Yar Khan",1561,1517,97.1812940422806
"61","Rajanpur",1038,1008,97.1098265895954
"62","Rawalpindi",1158,1146,98.9637305699482
"63","Sahiwal",996,990,99.3975903614458
"64","Sargodha",1307,1290,98.699311400153
"65","Sheikhupura",1107,1093,98.7353206865402
"66","Sialkot",967,960,99.2761116856257
"67","T.T. Singh",872,866,99.3119266055046
"68","Vehari",908,904,99.5594713656388
"69","Badin",654,642,98.1651376146789
"70","Dadu",331,324,97.8851963746224
"71","Ghotki",792,776,97.979797979798
"72","Hyderabad",155,155,100
"73","Jacobabad",690,671,97.2463768115942
"74","Jamshoro",243,241,99.1769547325103
"75","Karachi Malir",169,160,94.6745562130178
"76","Karachi West",51,50,98.0392156862745
"77","Kashmore",515,506,98.252427184466
"78","Khairpur",1184,1156,97.6351351351351
"79","Larkana",170,160,94.1176470588235
"80","Matiari",304,300,98.6842105263158
"81","Mir Pur Khas",685,676,98.6861313868613
"82","Nowshero Feroze",456,451,98.9035087719298
"83","Sanghar",749,724,96.6622162883845
"84","Shahdadkot",234,226,96.5811965811966
"85","Shaheed Banazir Abad",764,749,98.0366492146597
"86","Shikarpur",487,474,97.3305954825462
"87","Sujawal",393,375,95.4198473282443
"88","Sukkur",364,342,93.956043956044
"89","Tando Allah Yar",344,324,94.1860465116279
"90","Tando Muhammad Khan",484,478,98.7603305785124
"91","Tharparkar",639,636,99.5305164319249
"92","Thatta",432,414,95.8333333333333
"93","Umer Kot",417,414,99.2805755395683
"94","Awaran",255,253,99.2156862745098
"95","Barkhan",299,296,98.9966555183946
"96","Dera Bugti",273,253,92.6739926739927
"97","Duki",194,184,94.8453608247423
"98","Gwadar",145,143,98.6206896551724
"99","Harnai",197,179,90.8629441624365
"100","Jaffarabad",420,382,90.9523809523809
"101","Kachhi/ Bolan",314,306,97.4522292993631
"102","Kalat",357,343,96.078431372549
"103","Kech/Turbat",336,327,97.3214285714286
"104","Kharan",484,480,99.1735537190083
"105","Khuzdar",722,714,98.8919667590028
"106","Kohlu",24,23,95.8333333333333
"107","Lasbela",60,60,100
"108","Loralai",314,287,91.4012738853503
"109","Mastung",244,213,87.2950819672131
"110","Nasirabad/ Tamboo",382,374,97.9057591623037
"111","Nushki",293,287,97.9522184300341
"112","Pishin",577,552,95.6672443674177
"113","Qilla Abdullah",403,360,89.3300248138958
"114","Qilla Saifullah",562,540,96.085409252669
"115","Quetta",650,607,93.3846153846154
"116","Shaheed Sikandar Abad",136,133,97.7941176470588
"117","Sherani",165,115,69.6969696969697
"118","Sibbi",283,283,100
"119","Sohbatpur",184,158,85.8695652173913
"120","Washuk",340,309,90.8823529411765
"121","Ziarat",199,194,97.4874371859297
