"","district","count","total_measles","percent_measles"
"1","Abbottabad",552,403,73.0072463768116
"2","Bajur",1264,818,64.7151898734177
"3","Bannu",505,356,70.4950495049505
"4","Batagram",532,373,70.1127819548872
"5","Bunair",753,503,66.7994687915007
"6","Charsada",1057,748,70.7663197729423
"7","Chitral",339,246,72.5663716814159
"8","D. I. Khan",316,205,64.873417721519
"9","Hangu",587,378,64.3952299829642
"10","Haripur",547,411,75.1371115173675
"11","Karak",192,129,67.1875
"12","Khyber",777,592,76.1904761904762
"13","Kohat",418,254,60.7655502392344
"14","Kohistan",1261,612,48.5329103885805
"15","Kurram",713,495,69.4249649368864
"16","Lakki Marwat",334,230,68.8622754491018
"17","Lower Dir",1269,883,69.5823483057526
"18","Malakand",356,248,69.6629213483146
"19","Mansehra",736,551,74.8641304347826
"20","Mardan",1223,838,68.5200327064595
"21","Mohmand",670,412,61.4925373134328
"22","North Waziristan",362,229,63.2596685082873
"23","Nowshera",817,574,70.2570379436965
"24","Orakzai",384,293,76.3020833333333
"25","Peshawar",1532,1083,70.6919060052219
"26","Shangla",497,241,48.4909456740443
"27","South Waziristan",252,151,59.9206349206349
"28","Swabi",935,703,75.1871657754011
"29","Swat",593,455,76.7284991568297
"30","Tank",111,82,73.8738738738739
"31","Tor Garh",299,215,71.9063545150502
"32","Upper Dir",1026,758,73.8791423001949
"33","Attock",676,486,71.8934911242604
"34","Bahawalnagar",1432,944,65.9217877094972
"35","Bahawalpur",1926,1211,62.8764278296989
"36","Bhakhar",887,613,69.1093573844419
"37","Chakwal",617,436,70.6645056726094
"38","Chiniot",665,399,60
"39","D. G. Khan",1213,862,71.0634789777411
"40","Faisalabad",1681,1064,63.2956573468174
"41","Gujranwala",995,689,69.2462311557789
"42","Gujrat",758,534,70.4485488126649
"43","Hafizabad",511,356,69.6673189823875
"44","Islamabad",418,296,70.8133971291866
"45","Jehlum",573,342,59.6858638743455
"46","Jhang",1233,845,68.5320356853204
"47","Kasur",1185,733,61.8565400843882
"48","Khanewal",1184,719,60.7263513513513
"49","Khushab",559,375,67.0840787119857
"50","Layyah",431,312,72.3897911832947
"51","Lodhran",571,386,67.600700525394
"52","Mandi Bahauddin",499,328,65.7314629258517
"53","Mianwali",697,482,69.1535150645624
"54","Multan",1357,949,69.933677229182
"55","Muzaffar Garh",1856,1301,70.0969827586207
"56","Nankana Sahib",556,377,67.8057553956834
"57","Narowal",1110,844,76.036036036036
"58","Okara",804,551,68.5323383084577
"59","Pakpattan",913,523,57.2836801752464
"60","Rahim Yar Khan",1561,910,58.2959641255605
"61","Rajanpur",1038,786,75.7225433526011
"62","Rawalpindi",1158,817,70.552677029361
"63","Sahiwal",996,580,58.2329317269076
"64","Sargodha",1307,873,66.7941851568477
"65","Sheikhupura",1107,711,64.2276422764228
"66","Sialkot",967,693,71.664943123061
"67","T.T. Singh",872,613,70.2981651376147
"68","Vehari",908,622,68.5022026431718
"69","Badin",654,354,54.1284403669725
"70","Dadu",331,254,76.7371601208459
"71","Ghotki",792,537,67.8030303030303
"72","Hyderabad",155,71,45.8064516129032
"73","Jacobabad",690,518,75.0724637681159
"74","Jamshoro",243,136,55.9670781893004
"75","Karachi Malir",169,82,48.5207100591716
"76","Karachi West",51,32,62.7450980392157
"77","Kashmore",515,308,59.8058252427184
"78","Khairpur",1184,826,69.7635135135135
"79","Larkana",170,72,42.3529411764706
"80","Matiari",304,191,62.828947368421
"81","Mir Pur Khas",685,182,26.5693430656934
"82","Nowshero Feroze",456,357,78.2894736842105
"83","Sanghar",749,491,65.5540720961282
"84","Shahdadkot",234,61,26.0683760683761
"85","Shaheed Banazir Abad",764,424,55.4973821989529
"86","Shikarpur",487,124,25.4620123203285
"87","Sujawal",393,118,30.0254452926209
"88","Sukkur",364,203,55.7692307692308
"89","Tando Allah Yar",344,165,47.9651162790698
"90","Tando Muhammad Khan",484,205,42.3553719008264
"91","Tharparkar",639,82,12.8325508607199
"92","Thatta",432,166,38.4259259259259
"93","Umer Kot",417,115,27.5779376498801
"94","Awaran",255,24,9.41176470588235
"95","Barkhan",299,51,17.056856187291
"96","Dera Bugti",273,224,82.051282051282
"97","Duki",194,138,71.1340206185567
"98","Gwadar",145,111,76.551724137931
"99","Harnai",197,30,15.2284263959391
"100","Jaffarabad",420,292,69.5238095238095
"101","Kachhi/ Bolan",314,92,29.2993630573248
"102","Kalat",357,219,61.3445378151261
"103","Kech/Turbat",336,271,80.6547619047619
"104","Kharan",484,303,62.603305785124
"105","Khuzdar",722,86,11.9113573407202
"106","Kohlu",24,17,70.8333333333333
"107","Lasbela",60,16,26.6666666666667
"108","Loralai",314,145,46.1783439490446
"109","Mastung",244,159,65.1639344262295
"110","Nasirabad/ Tamboo",382,214,56.020942408377
"111","Nushki",293,212,72.3549488054608
"112","Pishin",577,368,63.7781629116118
"113","Qilla Abdullah",403,136,33.7468982630273
"114","Qilla Saifullah",562,167,29.7153024911032
"115","Quetta",650,289,44.4615384615385
"116","Shaheed Sikandar Abad",136,110,80.8823529411765
"117","Sherani",165,86,52.1212121212121
"118","Sibbi",283,29,10.2473498233216
"119","Sohbatpur",184,116,63.0434782608696
"120","Washuk",340,191,56.1764705882353
"121","Ziarat",199,51,25.6281407035176
