"","district","count","total_BCG","percent_BCG"
"1","Abbottabad",552,505,91.4855072463768
"2","Bajur",1264,912,72.1518987341772
"3","Bannu",505,391,77.4257425742574
"4","Batagram",532,409,76.8796992481203
"5","Bunair",753,611,81.1420982735724
"6","Charsada",1057,933,88.2686849574267
"7","Chitral",339,295,87.0206489675516
"8","D. I. Khan",316,229,72.4683544303797
"9","Hangu",587,481,81.9420783645656
"10","Haripur",547,509,93.0530164533821
"11","Karak",192,138,71.875
"12","Khyber",777,632,81.3384813384813
"13","Kohat",418,298,71.2918660287081
"14","Kohistan",1261,662,52.4980174464711
"15","Kurram",713,566,79.382889200561
"16","Lakki Marwat",334,254,76.0479041916168
"17","Lower Dir",1269,1118,88.1008668242711
"18","Malakand",356,332,93.2584269662921
"19","Mansehra",736,651,88.4510869565217
"20","Mardan",1223,1093,89.3704006541292
"21","Mohmand",670,516,77.0149253731343
"22","North Waziristan",362,234,64.6408839779006
"23","Nowshera",817,716,87.6376988984088
"24","Orakzai",384,373,97.1354166666667
"25","Peshawar",1532,1354,88.3812010443864
"26","Shangla",497,304,61.1670020120724
"27","South Waziristan",252,161,63.8888888888889
"28","Swabi",935,849,90.8021390374332
"29","Swat",593,549,92.5801011804384
"30","Tank",111,83,74.7747747747748
"31","Tor Garh",299,229,76.5886287625418
"32","Upper Dir",1026,934,91.0331384015595
"33","Attock",676,603,89.2011834319527
"34","Bahawalnagar",1432,1236,86.3128491620112
"35","Bahawalpur",1926,1615,83.852544132918
"36","Bhakhar",887,767,86.4712514092446
"37","Chakwal",617,556,90.1134521880065
"38","Chiniot",665,550,82.7067669172932
"39","D. G. Khan",1213,994,81.9455894476505
"40","Faisalabad",1681,1421,84.5330160618679
"41","Gujranwala",995,882,88.643216080402
"42","Gujrat",758,693,91.4248021108179
"43","Hafizabad",511,467,91.3894324853229
"44","Islamabad",418,363,86.8421052631579
"45","Jehlum",573,466,81.326352530541
"46","Jhang",1233,1095,88.8077858880779
"47","Kasur",1185,973,82.1097046413502
"48","Khanewal",1184,967,81.6722972972973
"49","Khushab",559,485,86.7620751341682
"50","Layyah",431,408,94.6635730858469
"51","Lodhran",571,515,90.1926444833625
"52","Mandi Bahauddin",499,452,90.5811623246493
"53","Mianwali",697,638,91.5351506456241
"54","Multan",1357,1174,86.5143699336772
"55","Muzaffar Garh",1856,1601,86.260775862069
"56","Nankana Sahib",556,441,79.3165467625899
"57","Narowal",1110,1026,92.4324324324324
"58","Okara",804,683,84.9502487562189
"59","Pakpattan",913,656,71.8510405257393
"60","Rahim Yar Khan",1561,1329,85.137732222934
"61","Rajanpur",1038,893,86.0308285163776
"62","Rawalpindi",1158,1023,88.3419689119171
"63","Sahiwal",996,772,77.5100401606426
"64","Sargodha",1307,1152,88.1407804131599
"65","Sheikhupura",1107,937,84.643179765131
"66","Sialkot",967,908,93.8986556359876
"67","T.T. Singh",872,790,90.5963302752293
"68","Vehari",908,845,93.0616740088106
"69","Badin",654,432,66.0550458715596
"70","Dadu",331,304,91.8429003021148
"71","Ghotki",792,608,76.7676767676768
"72","Hyderabad",155,82,52.9032258064516
"73","Jacobabad",690,651,94.3478260869565
"74","Jamshoro",243,166,68.3127572016461
"75","Karachi Malir",169,100,59.1715976331361
"76","Karachi West",51,37,72.5490196078431
"77","Kashmore",515,360,69.9029126213592
"78","Khairpur",1184,981,82.8547297297297
"79","Larkana",170,101,59.4117647058824
"80","Matiari",304,241,79.2763157894737
"81","Mir Pur Khas",685,244,35.6204379562044
"82","Nowshero Feroze",456,426,93.4210526315789
"83","Sanghar",749,641,85.5807743658211
"84","Shahdadkot",234,95,40.5982905982906
"85","Shaheed Banazir Abad",764,584,76.4397905759162
"86","Shikarpur",487,219,44.9691991786448
"87","Sujawal",393,172,43.765903307888
"88","Sukkur",364,241,66.2087912087912
"89","Tando Allah Yar",344,215,62.5
"90","Tando Muhammad Khan",484,256,52.8925619834711
"91","Tharparkar",639,121,18.9358372456964
"92","Thatta",432,230,53.2407407407407
"93","Umer Kot",417,148,35.4916067146283
"94","Awaran",255,34,13.3333333333333
"95","Barkhan",299,61,20.4013377926421
"96","Dera Bugti",273,236,86.4468864468865
"97","Duki",194,158,81.4432989690722
"98","Gwadar",145,115,79.3103448275862
"99","Harnai",197,66,33.502538071066
"100","Jaffarabad",420,343,81.6666666666667
"101","Kachhi/ Bolan",314,222,70.7006369426752
"102","Kalat",357,239,66.9467787114846
"103","Kech/Turbat",336,275,81.8452380952381
"104","Kharan",484,346,71.4876033057851
"105","Khuzdar",722,119,16.4819944598338
"106","Kohlu",24,15,62.5
"107","Lasbela",60,41,68.3333333333333
"108","Loralai",314,162,51.5923566878981
"109","Mastung",244,182,74.5901639344262
"110","Nasirabad/ Tamboo",382,270,70.6806282722513
"111","Nushki",293,245,83.617747440273
"112","Pishin",577,430,74.5233968804159
"113","Qilla Abdullah",403,126,31.2655086848635
"114","Qilla Saifullah",562,168,29.8932384341637
"115","Quetta",650,341,52.4615384615385
"116","Shaheed Sikandar Abad",136,123,90.4411764705882
"117","Sherani",165,71,43.030303030303
"118","Sibbi",283,234,82.6855123674912
"119","Sohbatpur",184,144,78.2608695652174
"120","Washuk",340,202,59.4117647058824
"121","Ziarat",199,78,39.1959798994975
