"","district","count","total_polio3","percent_polio3"
"1","Abbottabad",552,503,91.1231884057971
"2","Bajur",1264,1149,90.9018987341772
"3","Bannu",505,432,85.5445544554455
"4","Batagram",532,473,88.9097744360902
"5","Bunair",753,664,88.1806108897742
"6","Charsada",1057,944,89.3093661305582
"7","Chitral",339,310,91.4454277286136
"8","D. I. Khan",316,276,87.3417721518987
"9","Hangu",587,547,93.1856899488927
"10","Haripur",547,516,94.3327239488117
"11","Karak",192,147,76.5625
"12","Khyber",777,732,94.2084942084942
"13","Kohat",418,353,84.4497607655502
"14","Kohistan",1261,1131,89.6907216494845
"15","Kurram",713,665,93.2678821879383
"16","Lakki Marwat",334,286,85.6287425149701
"17","Lower Dir",1269,1138,89.6769109535067
"18","Malakand",356,332,93.2584269662921
"19","Mansehra",736,671,91.1684782608696
"20","Mardan",1223,1111,90.8421913327882
"21","Mohmand",670,604,90.1492537313433
"22","North Waziristan",362,304,83.9779005524862
"23","Nowshera",817,715,87.515299877601
"24","Orakzai",384,373,97.1354166666667
"25","Peshawar",1532,1382,90.2088772845953
"26","Shangla",497,455,91.5492957746479
"27","South Waziristan",252,238,94.4444444444444
"28","Swabi",935,857,91.6577540106952
"29","Swat",593,557,93.929173693086
"30","Tank",111,104,93.6936936936937
"31","Tor Garh",299,245,81.9397993311037
"32","Upper Dir",1026,954,92.9824561403509
"33","Attock",676,560,82.8402366863905
"34","Bahawalnagar",1432,1228,85.7541899441341
"35","Bahawalpur",1926,1681,87.2793354101765
"36","Bhakhar",887,755,85.1183765501691
"37","Chakwal",617,546,88.4927066450567
"38","Chiniot",665,553,83.1578947368421
"39","D. G. Khan",1213,1038,85.5729596042869
"40","Faisalabad",1681,1418,84.3545508625818
"41","Gujranwala",995,872,87.6381909547739
"42","Gujrat",758,675,89.0501319261214
"43","Hafizabad",511,467,91.3894324853229
"44","Islamabad",418,347,83.0143540669856
"45","Jehlum",573,403,70.3315881326352
"46","Jhang",1233,1104,89.5377128953771
"47","Kasur",1185,898,75.7805907172996
"48","Khanewal",1184,908,76.6891891891892
"49","Khushab",559,484,86.5831842576029
"50","Layyah",431,408,94.6635730858469
"51","Lodhran",571,505,88.4413309982487
"52","Mandi Bahauddin",499,446,89.3787575150301
"53","Mianwali",697,627,89.9569583931133
"54","Multan",1357,1091,80.3979366249079
"55","Muzaffar Garh",1856,1533,82.5969827586207
"56","Nankana Sahib",556,440,79.136690647482
"57","Narowal",1110,976,87.9279279279279
"58","Okara",804,677,84.2039800995025
"59","Pakpattan",913,652,71.4129244249726
"60","Rahim Yar Khan",1561,1323,84.7533632286996
"61","Rajanpur",1038,901,86.8015414258189
"62","Rawalpindi",1158,987,85.2331606217617
"63","Sahiwal",996,794,79.718875502008
"64","Sargodha",1307,1151,88.0642693190513
"65","Sheikhupura",1107,931,84.1011743450768
"66","Sialkot",967,841,86.9700103412616
"67","T.T. Singh",872,791,90.7110091743119
"68","Vehari",908,845,93.0616740088106
"69","Badin",654,603,92.2018348623853
"70","Dadu",331,301,90.9365558912387
"71","Ghotki",792,713,90.0252525252525
"72","Hyderabad",155,147,94.8387096774194
"73","Jacobabad",690,652,94.4927536231884
"74","Jamshoro",243,222,91.358024691358
"75","Karachi Malir",169,121,71.5976331360947
"76","Karachi West",51,38,74.5098039215686
"77","Kashmore",515,439,85.2427184466019
"78","Khairpur",1184,1021,86.2331081081081
"79","Larkana",170,88,51.7647058823529
"80","Matiari",304,283,93.0921052631579
"81","Mir Pur Khas",685,560,81.7518248175183
"82","Nowshero Feroze",456,416,91.2280701754386
"83","Sanghar",749,667,89.0520694259012
"84","Shahdadkot",234,75,32.0512820512821
"85","Shaheed Banazir Abad",764,665,87.0418848167539
"86","Shikarpur",487,233,47.8439425051335
"87","Sujawal",393,304,77.35368956743
"88","Sukkur",364,323,88.7362637362637
"89","Tando Allah Yar",344,299,86.9186046511628
"90","Tando Muhammad Khan",484,433,89.4628099173554
"91","Tharparkar",639,544,85.1330203442879
"92","Thatta",432,336,77.7777777777778
"93","Umer Kot",417,334,80.0959232613909
"94","Awaran",255,236,92.5490196078431
"95","Barkhan",299,138,46.1538461538462
"96","Dera Bugti",273,243,89.010989010989
"97","Duki",194,168,86.5979381443299
"98","Gwadar",145,132,91.0344827586207
"99","Harnai",197,89,45.1776649746193
"100","Jaffarabad",420,346,82.3809523809524
"101","Kachhi/ Bolan",314,259,82.484076433121
"102","Kalat",357,334,93.5574229691877
"103","Kech/Turbat",336,318,94.6428571428571
"104","Kharan",484,437,90.2892561983471
"105","Khuzdar",722,683,94.5983379501385
"106","Kohlu",24,17,70.8333333333333
"107","Lasbela",60,44,73.3333333333333
"108","Loralai",314,170,54.140127388535
"109","Mastung",244,204,83.6065573770492
"110","Nasirabad/ Tamboo",382,329,86.1256544502618
"111","Nushki",293,283,96.5870307167236
"112","Pishin",577,487,84.4020797227036
"113","Qilla Abdullah",403,304,75.4342431761787
"114","Qilla Saifullah",562,508,90.3914590747331
"115","Quetta",650,476,73.2307692307692
"116","Shaheed Sikandar Abad",136,130,95.5882352941177
"117","Sherani",165,107,64.8484848484848
"118","Sibbi",283,281,99.2932862190813
"119","Sohbatpur",184,146,79.3478260869565
"120","Washuk",340,300,88.2352941176471
"121","Ziarat",199,155,77.8894472361809
