"","district","total_birth","total_live_birth","total_still_birth","percent_live_birth","percent_still_birth"
"1","Abbottabad",298,291,7,97.6510067114094,2.3489932885906
"2","Bajur",640,636,4,99.375,0.625
"3","Bannu",285,283,2,99.2982456140351,0.701754385964912
"4","Batagram",274,267,7,97.4452554744526,2.55474452554745
"5","Bunair",461,455,6,98.6984815618221,1.30151843817787
"6","Charsada",564,556,8,98.5815602836879,1.41843971631206
"7","Chitral",202,198,4,98.019801980198,1.98019801980198
"8","D. I. Khan",152,144,8,94.7368421052632,5.26315789473684
"9","Hangu",290,288,2,99.3103448275862,0.689655172413793
"10","Haripur",291,284,7,97.5945017182131,2.40549828178694
"11","Karak",94,89,5,94.6808510638298,5.31914893617021
"12","Khyber",381,374,7,98.1627296587926,1.83727034120735
"13","Kohat",192,192,0,100,0
"14","Kohistan",706,678,28,96.0339943342776,3.96600566572238
"15","Kurram",360,357,3,99.1666666666667,0.833333333333333
"16","Lakki Marwat",182,178,4,97.8021978021978,2.1978021978022
"17","Lower Dir",704,694,10,98.5795454545455,1.42045454545455
"18","Malakand",232,180,52,77.5862068965517,22.4137931034483
"19","Mansehra",420,408,12,97.1428571428571,2.85714285714286
"20","Mardan",727,676,51,92.9848693259972,7.01513067400275
"21","Mohmand",360,357,3,99.1666666666667,0.833333333333333
"22","North Waziristan",198,195,3,98.4848484848485,1.51515151515152
"23","Nowshera",453,439,14,96.9094922737307,3.09050772626932
"24","Orakzai",211,185,26,87.6777251184834,12.3222748815166
"25","Peshawar",820,791,29,96.4634146341463,3.53658536585366
"26","Shangla",241,237,4,98.3402489626556,1.6597510373444
"27","South Waziristan",119,117,2,98.3193277310924,1.68067226890756
"28","Swabi",510,452,58,88.6274509803922,11.3725490196078
"29","Swat",339,338,1,99.7050147492625,0.294985250737463
"30","Tank",80,62,18,77.5,22.5
"31","Tor Garh",153,152,1,99.3464052287582,0.65359477124183
"32","Upper Dir",591,581,10,98.3079526226734,1.69204737732657
"33","Attock",366,366,0,100,0
"34","Bahawalnagar",732,721,11,98.4972677595628,1.50273224043716
"35","Bahawalpur",1008,999,9,99.1071428571429,0.892857142857143
"36","Bhakhar",512,500,12,97.65625,2.34375
"37","Chakwal",321,319,2,99.3769470404984,0.623052959501558
"38","Chiniot",338,331,7,97.9289940828402,2.07100591715976
"39","D. G. Khan",690,674,16,97.6811594202899,2.31884057971015
"40","Faisalabad",909,891,18,98.019801980198,1.98019801980198
"41","Gujranwala",526,518,8,98.4790874524715,1.52091254752852
"42","Gujrat",382,382,0,100,0
"43","Hafizabad",274,267,7,97.4452554744526,2.55474452554745
"44","Islamabad",212,211,1,99.5283018867924,0.471698113207547
"45","Jehlum",307,306,1,99.6742671009772,0.325732899022801
"46","Jhang",628,616,12,98.0891719745223,1.91082802547771
"47","Kasur",628,624,4,99.3630573248408,0.636942675159236
"48","Khanewal",628,618,10,98.4076433121019,1.59235668789809
"49","Khushab",291,289,2,99.3127147766323,0.687285223367698
"50","Layyah",217,217,0,100,0
"51","Lodhran",296,287,9,96.9594594594595,3.04054054054054
"52","Mandi Bahauddin",264,261,3,98.8636363636364,1.13636363636364
"53","Mianwali",391,386,5,98.7212276214834,1.27877237851662
"54","Multan",660,653,7,98.9393939393939,1.06060606060606
"55","Muzaffar Garh",850,843,7,99.1764705882353,0.823529411764706
"56","Nankana Sahib",276,275,1,99.6376811594203,0.36231884057971
"57","Narowal",602,598,4,99.3355481727575,0.664451827242525
"58","Okara",379,378,1,99.7361477572559,0.263852242744063
"59","Pakpattan",449,440,9,97.9955456570156,2.00445434298441
"60","Rahim Yar Khan",831,824,7,99.1576413959085,0.842358604091456
"61","Rajanpur",568,563,5,99.1197183098592,0.880281690140845
