"","district","Total_places","Private_Hospital","Govt_Dispen","Home","Other","Percent_Private_Hospitals","Percent_Govt_Hospitals","Percent_Home","Percent_Others"
"1","Abbottabad",298,109,108,80,1,36.5771812080537,36.241610738255,26.8456375838926,0.335570469798658
"2","Bajur",640,50,130,457,3,7.8125,20.3125,71.40625,0.46875
"3","Bannu",285,32,151,101,1,11.2280701754386,52.9824561403509,35.4385964912281,0.350877192982456
"4","Batagram",274,83,77,112,2,30.2919708029197,28.1021897810219,40.8759124087591,0.72992700729927
"5","Bunair",461,175,159,127,0,37.9609544468547,34.4902386117137,27.5488069414317,0
"6","Charsada",564,214,230,118,2,37.9432624113475,40.7801418439716,20.9219858156028,0.354609929078014
"7","Chitral",202,47,73,74,8,23.2673267326733,36.1386138613861,36.6336633663366,3.96039603960396
"8","D. I. Khan",152,23,24,103,2,15.1315789473684,15.7894736842105,67.7631578947368,1.31578947368421
"9","Hangu",290,158,68,62,2,54.4827586206897,23.448275862069,21.3793103448276,0.689655172413793
"10","Haripur",291,98,128,63,2,33.6769759450172,43.9862542955326,21.6494845360825,0.687285223367698
"11","Karak",94,52,18,23,1,55.3191489361702,19.1489361702128,24.468085106383,1.06382978723404
"12","Khyber",381,5,268,108,0,1.31233595800525,70.3412073490814,28.3464566929134,0
"13","Kohat",192,68,62,62,0,35.4166666666667,32.2916666666667,32.2916666666667,0
"14","Kohistan",706,118,73,514,1,16.71388101983,10.3399433427762,72.8045325779037,0.141643059490085
"15","Kurram",360,40,158,160,2,11.1111111111111,43.8888888888889,44.4444444444444,0.555555555555556
"16","Lakki Marwat",182,65,35,79,3,35.7142857142857,19.2307692307692,43.4065934065934,1.64835164835165
"17","Lower Dir",704,249,339,100,16,35.3693181818182,48.1534090909091,14.2045454545455,2.27272727272727
"18","Malakand",232,90,96,46,0,38.7931034482759,41.3793103448276,19.8275862068966,0
"19","Mansehra",420,134,107,177,2,31.9047619047619,25.4761904761905,42.1428571428571,0.476190476190476
"20","Mardan",727,274,262,189,2,37.6891334250344,36.0385144429161,25.9972489683631,0.275103163686382
"21","Mohmand",360,113,74,172,1,31.3888888888889,20.5555555555556,47.7777777777778,0.277777777777778
"22","North Waziristan",198,69,22,107,0,34.8484848484849,11.1111111111111,54.040404040404,0
"23","Nowshera",453,144,189,115,5,31.7880794701987,41.7218543046358,25.3863134657837,1.1037527593819
"24","Orakzai",211,107,29,72,3,50.7109004739336,13.7440758293839,34.1232227488152,1.4218009478673
"25","Peshawar",820,247,268,304,1,30.1219512195122,32.6829268292683,37.0731707317073,0.121951219512195
"26","Shangla",241,69,55,116,1,28.6307053941909,22.8215767634855,48.1327800829876,0.4149377593361
"27","South Waziristan",119,6,3,108,2,5.04201680672269,2.52100840336134,90.7563025210084,1.68067226890756
