"","district","Total_responses","without_injection","one_injection","two_injection","percent_without_inject","percent_one_inject","percent_two_inject"
"1","Abbottabad",249,30,63,156,12.0481927710843,25.3012048192771,62.6506024096386
"2","Bajur",457,108,70,279,23.6323851203501,15.3172866520788,61.0503282275711
"3","Bannu",174,5,55,114,2.8735632183908,31.6091954022989,65.5172413793103
"4","Batagram",211,66,35,110,31.2796208530806,16.5876777251185,52.132701421801
"5","Bunair",328,110,38,180,33.5365853658537,11.5853658536585,54.8780487804878
"6","Charsada",455,61,133,261,13.4065934065934,29.2307692307692,57.3626373626374
"7","Chitral",199,44,25,130,22.1105527638191,12.5628140703518,65.3266331658292
"8","D. I. Khan",72,3,3,66,4.16666666666667,4.16666666666667,91.6666666666667
"9","Hangu",179,30,47,102,16.7597765363128,26.2569832402235,56.9832402234637
"10","Haripur",265,28,42,195,10.5660377358491,15.8490566037736,73.5849056603774
"11","Karak",63,1,23,39,1.58730158730159,36.5079365079365,61.9047619047619
"12","Khyber",250,24,21,205,9.6,8.4,82
"13","Kohat",90,9,45,36,10,50,40
"14","Kohistan",519,136,234,149,26.2042389210019,45.0867052023121,28.7090558766859
"15","Kurram",272,137,9,126,50.3676470588235,3.30882352941176,46.3235294117647
"16","Lakki Marwat",106,1,35,70,0.943396226415094,33.0188679245283,66.0377358490566
"17","Lower Dir",572,5,400,167,0.874125874125874,69.9300699300699,29.1958041958042
"18","Malakand",200,28,7,165,14,3.5,82.5
"19","Mansehra",307,34,37,236,11.0749185667752,12.0521172638436,76.8729641693811
"20","Mardan",617,136,158,323,22.0421393841167,25.6077795786062,52.3500810372771
"21","Mohmand",148,18,7,123,12.1621621621622,4.72972972972973,83.1081081081081
"22","North Waziristan",93,13,19,61,13.9784946236559,20.4301075268817,65.5913978494624
"23","Nowshera",374,79,88,207,21.1229946524064,23.5294117647059,55.3475935828877
"24","Orakzai",117,8,37,72,6.83760683760684,31.6239316239316,61.5384615384615
"25","Peshawar",531,67,189,275,12.6177024482109,35.5932203389831,51.789077212806
