"","district","total_birth","total_consulted","total_not_consulted","percent_consulted","percent_not_consulted"
"1","Abbottabad",298,122,176,40.9395973154362,59.0604026845638
"2","Bajur",640,107,533,16.71875,83.28125
"3","Bannu",285,40,245,14.0350877192982,85.9649122807018
"4","Batagram",274,74,200,27.007299270073,72.992700729927
"5","Bunair",461,86,375,18.6550976138829,81.3449023861171
"6","Charsada",564,191,373,33.8652482269504,66.1347517730496
"7","Chitral",202,37,165,18.3168316831683,81.6831683168317
"8","D. I. Khan",152,58,94,38.1578947368421,61.8421052631579
"9","Hangu",290,57,233,19.6551724137931,80.3448275862069
"10","Haripur",291,91,200,31.2714776632302,68.7285223367698
"11","Karak",94,22,72,23.4042553191489,76.5957446808511
"12","Khyber",381,152,229,39.8950131233596,60.1049868766404
"13","Kohat",192,33,159,17.1875,82.8125
"14","Kohistan",706,75,631,10.6232294617564,89.3767705382436
"15","Kurram",360,84,276,23.3333333333333,76.6666666666667
"16","Lakki Marwat",182,21,161,11.5384615384615,88.4615384615385
"17","Lower Dir",704,274,430,38.9204545454545,61.0795454545455
"18","Malakand",232,62,170,26.7241379310345,73.2758620689655
"19","Mansehra",420,112,308,26.6666666666667,73.3333333333333
"20","Mardan",727,233,494,32.0495185694636,67.9504814305364
"21","Mohmand",360,52,308,14.4444444444444,85.5555555555556
"22","North Waziristan",198,70,128,35.3535353535354,64.6464646464647
"23","Nowshera",453,173,280,38.1898454746137,61.8101545253863
"24","Orakzai",211,45,166,21.3270142180095,78.6729857819905
"25","Peshawar",820,242,578,29.5121951219512,70.4878048780488
"26","Shangla",241,54,187,22.4066390041494,77.5933609958506
"27","South Waziristan",119,60,59,50.4201680672269,49.5798319327731
"28","Swabi",510,133,377,26.078431372549,73.921568627451
"29","Swat",339,83,256,24.4837758112094,75.5162241887906
"30","Tank",80,41,39,51.25,48.75
"31","Tor Garh",153,11,142,7.18954248366013,92.8104575163399
"32","Upper Dir",591,227,364,38.409475465313,61.590524534687
"33","Attock",366,180,186,49.1803278688525,50.8196721311475
"34","Bahawalnagar",732,209,523,28.551912568306,71.448087431694
"35","Bahawalpur",1008,271,737,26.8849206349206,73.1150793650794
"36","Bhakhar",512,133,379,25.9765625,74.0234375
"37","Chakwal",321,163,158,50.7788161993769,49.2211838006231
"38","Chiniot",338,110,228,32.5443786982249,67.4556213017752
"39","D. G. Khan",690,162,528,23.4782608695652,76.5217391304348
"40","Faisalabad",909,353,556,38.8338833883388,61.1661166116612
"41","Gujranwala",526,199,327,37.8326996197719,62.1673003802281
"42","Gujrat",382,165,217,43.1937172774869,56.8062827225131
"43","Hafizabad",274,90,184,32.8467153284672,67.1532846715328
"44","Islamabad",212,133,79,62.7358490566038,37.2641509433962
"45","Jehlum",307,105,202,34.2019543973941,65.7980456026059
"46","Jhang",628,194,434,30.8917197452229,69.1082802547771
"47","Kasur",628,142,486,22.6114649681529,77.3885350318471
"48","Khanewal",628,274,354,43.6305732484076,56.3694267515924
"49","Khushab",291,111,180,38.1443298969072,61.8556701030928
"50","Layyah",217,159,58,73.2718894009217,26.7281105990783
"51","Lodhran",296,111,185,37.5,62.5
"52","Mandi Bahauddin",264,96,168,36.3636363636364,63.6363636363636
"53","Mianwali",391,196,195,50.1278772378517,49.8721227621483
"54","Multan",660,258,402,39.0909090909091,60.9090909090909
"55","Muzaffar Garh",850,433,417,50.9411764705882,49.0588235294118
"56","Nankana Sahib",276,85,191,30.7971014492754,69.2028985507246
"57","Narowal",602,148,454,24.5847176079734,75.4152823920266
