"","district","Total_places","Private_Hospital","Govt_Dispen","Home_LHV","Other","Percent_Private_Hospitals","Percent_Govt_Hospitals","Percent_Home_LHV","Percent_Others"
"1","Abbottabad",119,60,48,11,3,50.4201680672269,40.3361344537815,9.2436974789916,2.52100840336134
"2","Bajur",107,33,45,29,0,30.8411214953271,42.0560747663551,27.1028037383178,0
"3","Bannu",39,12,16,11,1,30.7692307692308,41.025641025641,28.2051282051282,2.56410256410256
"4","Batagram",74,25,15,34,0,33.7837837837838,20.2702702702703,45.945945945946,0
"5","Bunair",86,45,33,8,0,52.3255813953488,38.3720930232558,9.30232558139535,0
"6","Charsada",191,100,66,25,0,52.3560209424084,34.5549738219895,13.0890052356021,0
"7","Chitral",35,33,2,0,2,94.2857142857143,5.71428571428571,0,5.71428571428571
"8","D. I. Khan",58,20,30,8,0,34.4827586206897,51.7241379310345,13.7931034482759,0
"9","Hangu",57,34,23,0,0,59.6491228070175,40.3508771929825,0,0
"10","Haripur",91,40,47,4,0,43.956043956044,51.6483516483517,4.3956043956044,0
"11","Karak",22,13,3,6,0,59.0909090909091,13.6363636363636,27.2727272727273,0
"12","Khyber",152,4,142,6,0,2.63157894736842,93.4210526315789,3.94736842105263,0
"13","Kohat",33,17,16,0,0,51.5151515151515,48.4848484848485,0,0
"14","Kohistan",75,37,26,12,0,49.3333333333333,34.6666666666667,16,0
"15","Kurram",84,7,64,13,0,8.33333333333333,76.1904761904762,15.4761904761905,0
"16","Lakki Marwat",21,12,7,2,0,57.1428571428571,33.3333333333333,9.52380952380952,0
"17","Lower Dir",274,115,158,1,0,41.970802919708,57.6642335766423,0.364963503649635,0
"18","Malakand",62,44,17,1,0,70.9677419354839,27.4193548387097,1.61290322580645,0
"19","Mansehra",111,56,41,14,1,50.4504504504504,36.9369369369369,12.6126126126126,0.900900900900901
"20","Mardan",233,84,102,47,0,36.0515021459227,43.7768240343348,20.1716738197425,0
"21","Mohmand",52,31,20,1,0,59.6153846153846,38.4615384615385,1.92307692307692,0
"22","North Waziristan",70,53,11,6,0,75.7142857142857,15.7142857142857,8.57142857142857,0
"23","Nowshera",171,54,86,31,2,31.5789473684211,50.2923976608187,18.1286549707602,1.16959064327485
"24","Orakzai",45,30,14,1,0,66.6666666666667,31.1111111111111,2.22222222222222,0
"25","Peshawar",242,98,88,56,0,40.495867768595,36.3636363636364,23.1404958677686,0
"26","Shangla",54,27,27,0,0,50,50,0,0
"27","South Waziristan",60,20,8,32,0,33.3333333333333,13.3333333333333,53.3333333333333,0
"28","Swabi",133,55,65,13,0,41.3533834586466,48.8721804511278,9.77443609022556,0
"29","Swat",82,15,67,0,1,18.2926829268293,81.7073170731707,0,1.21951219512195
"30","Tank",41,5,22,14,0,12.1951219512195,53.6585365853659,34.1463414634146,0
"31","Tor Garh",11,9,0,2,0,81.8181818181818,0,18.1818181818182,0
"32","Upper Dir",227,60,166,1,0,26.431718061674,73.1277533039648,0.440528634361234,0
"33","Attock",180,102,75,3,0,56.6666666666667,41.6666666666667,1.66666666666667,0
"34","Bahawalnagar",204,87,27,90,5,42.6470588235294,13.2352941176471,44.1176470588235,2.45098039215686
"35","Bahawalpur",271,180,90,1,0,66.4206642066421,33.210332103321,0.3690036900369,0
"36","Bhakhar",133,77,52,4,0,57.8947368421053,39.0977443609023,3.00751879699248,0
"37","Chakwal",163,58,86,19,0,35.5828220858896,52.760736196319,11.6564417177914,0
"38","Chiniot",110,81,26,3,0,73.6363636363636,23.6363636363636,2.72727272727273,0
"39","D. G. Khan",160,57,59,44,2,35.625,36.875,27.5,1.25
"40","Faisalabad",351,237,69,45,2,67.5213675213675,19.6581196581197,12.8205128205128,0.56980056980057
"41","Gujranwala",199,121,76,2,0,60.8040201005025,38.1909547738693,1.00502512562814,0
"42","Gujrat",165,122,42,1,0,73.9393939393939,25.4545454545455,0.606060606060606,0
"43","Hafizabad",90,55,32,3,0,61.1111111111111,35.5555555555556,3.33333333333333,0
"44","Islamabad",133,63,70,0,0,47.3684210526316,52.6315789473684,0,0
"45","Jehlum",105,31,73,1,0,29.5238095238095,69.5238095238095,0.952380952380952,0
"46","Jhang",192,120,44,28,2,62.5,22.9166666666667,14.5833333333333,1.04166666666667
"47","Kasur",140,60,56,24,2,42.8571428571429,40,17.1428571428571,1.42857142857143
"48","Khanewal",273,170,64,39,1,62.2710622710623,23.4432234432234,14.2857142857143,0.366300366300366
"49","Khushab",111,81,28,2,0,72.972972972973,25.2252252252252,1.8018018018018,0
"50","Layyah",159,15,88,56,0,9.43396226415094,55.3459119496855,35.2201257861635,0
"51","Lodhran",111,35,69,7,0,31.5315315315315,62.1621621621622,6.30630630630631,0
"52","Mandi Bahauddin",96,58,38,0,0,60.4166666666667,39.5833333333333,0,0
"53","Mianwali",196,120,66,10,0,61.2244897959184,33.6734693877551,5.10204081632653,0
"54","Multan",258,82,148,28,0,31.7829457364341,57.3643410852713,10.8527131782946,0
"55","Muzaffar Garh",432,148,199,85,1,34.2592592592593,46.0648148148148,19.6759259259259,0.231481481481481
"56","Nankana Sahib",85,54,16,15,0,63.5294117647059,18.8235294117647,17.6470588235294,0
