"","district","n()","total_visits","one_to_three","four_to_six","more_than_six","percent_one_to_three","percent_four_to_six","percent_more_than_six"
"1","Abbottabad",869,122,120,2,0,98.3606557377049,1.63934426229508,0
"2","Bajur",1203,107,104,0,3,97.196261682243,0,2.80373831775701
"3","Bannu",765,40,36,4,0,90,10,0
"4","Batagram",635,74,69,3,2,93.2432432432432,4.05405405405405,2.7027027027027
"5","Bunair",945,86,84,2,0,97.6744186046512,2.32558139534884,0
"6","Charsada",1297,191,173,18,0,90.5759162303665,9.42408376963351,0
"7","Chitral",585,37,29,8,0,78.3783783783784,21.6216216216216,0
"8","D. I. Khan",901,58,56,2,0,96.551724137931,3.44827586206897,0
"9","Hangu",810,57,42,15,0,73.6842105263158,26.3157894736842,0
"10","Haripur",970,91,88,3,0,96.7032967032967,3.2967032967033,0
"11","Karak",493,22,20,2,0,90.9090909090909,9.09090909090909,0
"12","Khyber",920,152,137,13,2,90.1315789473684,8.55263157894737,1.31578947368421
"13","Kohat",723,33,26,7,0,78.7878787878788,21.2121212121212,0
"14","Kohistan",1323,75,68,7,0,90.6666666666667,9.33333333333333,0
"15","Kurram",845,84,78,5,1,92.8571428571429,5.95238095238095,1.19047619047619
"16","Lakki Marwat",491,21,19,2,0,90.4761904761905,9.52380952380952,0
"17","Lower Dir",1676,274,242,32,0,88.3211678832117,11.6788321167883,0
"18","Malakand",530,62,41,21,0,66.1290322580645,33.8709677419355,0
"19","Mansehra",1094,112,104,8,0,92.8571428571429,7.14285714285714,0
"20","Mardan",1490,233,201,30,2,86.2660944206009,12.8755364806867,0.858369098712446
"21","Mohmand",687,52,50,2,0,96.1538461538462,3.84615384615385,0
"22","North Waziristan",547,70,65,5,0,92.8571428571429,7.14285714285714,0
"23","Nowshera",1132,173,112,58,3,64.7398843930636,33.5260115606936,1.73410404624277
"24","Orakzai",424,45,37,8,0,82.2222222222222,17.7777777777778,0
"25","Peshawar",1828,242,217,23,2,89.6694214876033,9.50413223140496,0.826446280991736
"26","Shangla",569,54,54,0,0,100,0,0
"27","South Waziristan",512,60,60,0,0,100,0,0
"28","Swabi",1323,133,130,3,0,97.7443609022556,2.25563909774436,0
"29","Swat",885,83,83,0,0,100,0,0
"30","Tank",378,41,41,0,0,100,0,0
"31","Tor Garh",415,11,10,0,1,90.9090909090909,0,9.09090909090909
"32","Upper Dir",1328,227,199,28,0,87.6651982378855,12.3348017621145,0
"33","Attock",1198,180,174,6,0,96.6666666666667,3.33333333333333,0
"34","Bahawalnagar",1916,209,107,100,2,51.1961722488038,47.8468899521531,0.956937799043062
"35","Bahawalpur",2482,271,251,19,1,92.619926199262,7.01107011070111,0.3690036900369
