"","district","total_birth","total_consulted","total_not_consulted","percent_consulted","percent_not_consulted"
"1","Abbottabad",298,225,73,75.503355704698,24.496644295302
"2","Bajur",640,378,262,59.0625,40.9375
"3","Bannu",285,126,159,44.2105263157895,55.7894736842105
"4","Batagram",274,167,107,60.948905109489,39.051094890511
"5","Bunair",461,332,129,72.0173535791757,27.9826464208243
"6","Charsada",564,457,107,81.0283687943262,18.9716312056738
"7","Chitral",202,135,67,66.8316831683168,33.1683168316832
"8","D. I. Khan",152,65,87,42.7631578947368,57.2368421052632
"9","Hangu",290,230,60,79.3103448275862,20.6896551724138
"10","Haripur",291,253,38,86.9415807560137,13.0584192439863
"11","Karak",94,40,54,42.5531914893617,57.4468085106383
"12","Khyber",381,251,130,65.8792650918635,34.1207349081365
"13","Kohat",192,149,43,77.6041666666667,22.3958333333333
"14","Kohistan",706,322,384,45.6090651558074,54.3909348441926
"15","Kurram",360,254,106,70.5555555555556,29.4444444444444
"16","Lakki Marwat",182,56,126,30.7692307692308,69.2307692307692
"17","Lower Dir",704,438,266,62.2159090909091,37.7840909090909
"18","Malakand",232,201,31,86.6379310344828,13.3620689655172
"19","Mansehra",420,268,152,63.8095238095238,36.1904761904762
"20","Mardan",727,611,116,84.0440165061898,15.9559834938102
"21","Mohmand",360,259,101,71.9444444444444,28.0555555555556
"22","North Waziristan",198,57,141,28.7878787878788,71.2121212121212
"23","Nowshera",453,321,132,70.8609271523179,29.1390728476821
"24","Orakzai",211,163,48,77.2511848341232,22.7488151658768
"25","Peshawar",820,708,112,86.3414634146341,13.6585365853659
"26","Shangla",241,183,58,75.9336099585062,24.0663900414938
"27","South Waziristan",119,22,97,18.4873949579832,81.5126050420168
"28","Swabi",510,392,118,76.8627450980392,23.1372549019608
"29","Swat",339,218,121,64.306784660767,35.693215339233
"30","Tank",80,40,40,50,50
"31","Tor Garh",153,38,115,24.8366013071895,75.1633986928105
"32","Upper Dir",591,327,264,55.3299492385787,44.6700507614213
"33","Attock",366,316,50,86.3387978142077,13.6612021857924
"34","Bahawalnagar",732,541,191,73.9071038251366,26.0928961748634
"35","Bahawalpur",1008,879,129,87.2023809523809,12.797619047619
"36","Bhakhar",512,401,111,78.3203125,21.6796875
"37","Chakwal",321,282,39,87.8504672897196,12.1495327102804
"38","Chiniot",338,305,33,90.2366863905325,9.76331360946746
"39","D. G. Khan",690,358,332,51.8840579710145,48.1159420289855
"40","Faisalabad",909,726,183,79.8679867986799,20.1320132013201
"41","Gujranwala",526,479,47,91.06463878327,8.93536121673004
"42","Gujrat",382,350,32,91.6230366492147,8.37696335078534
"43","Hafizabad",274,214,60,78.1021897810219,21.8978102189781
"44","Islamabad",212,202,10,95.2830188679245,4.71698113207547
"45","Jehlum",307,298,9,97.0684039087948,2.93159609120521
"46","Jhang",628,489,139,77.8662420382166,22.1337579617834
"47","Kasur",628,482,146,76.7515923566879,23.2484076433121
"48","Khanewal",628,534,94,85.031847133758,14.968152866242
"49","Khushab",291,239,52,82.1305841924399,17.8694158075601
"50","Layyah",217,166,51,76.4976958525346,23.5023041474654
"51","Lodhran",296,244,52,82.4324324324324,17.5675675675676
"52","Mandi Bahauddin",264,249,15,94.3181818181818,5.68181818181818
"53","Mianwali",391,318,73,81.3299232736573,18.6700767263427
"54","Multan",660,509,151,77.1212121212121,22.8787878787879
"55","Muzaffar Garh",850,707,143,83.1764705882353,16.8235294117647
"56","Nankana Sahib",276,233,43,84.4202898550725,15.5797101449275
"57","Narowal",602,431,171,71.5946843853821,28.4053156146179
"58","Okara",379,308,71,81.2664907651715,18.7335092348285
"59","Pakpattan",449,354,95,78.8418708240534,21.1581291759465
"60","Rahim Yar Khan",831,622,209,74.849578820698,25.150421179302
"61","Rajanpur",568,325,243,57.2183098591549,42.7816901408451
"62","Rawalpindi",601,535,66,89.018302828619,10.981697171381
"63","Sahiwal",533,429,104,80.4878048780488,19.5121951219512
"64","Sargodha",707,580,127,82.036775106082,17.963224893918
"65","Sheikhupura",589,491,98,83.3616298811545,16.6383701188455
"66","Sialkot",564,430,134,76.2411347517731,23.758865248227
"67","T.T. Singh",452,406,46,89.8230088495575,10.1769911504425
"68","Vehari",497,444,53,89.3360160965795,10.6639839034205
"69","Badin",289,153,136,52.9411764705882,47.0588235294118
"70","Dadu",170,108,62,63.5294117647059,36.4705882352941
"71","Ghotki",379,224,155,59.1029023746702,40.8970976253298
"72","Hyderabad",75,22,53,29.3333333333333,70.6666666666667
"73","Jacobabad",321,185,136,57.6323987538941,42.3676012461059
"74","Jamshoro",117,88,29,75.2136752136752,24.7863247863248
"75","Karachi Malir",69,62,7,89.8550724637681,10.1449275362319
"76","Karachi West",31,20,11,64.5161290322581,35.4838709677419
"77","Kashmore",245,152,93,62.0408163265306,37.9591836734694
"78","Khairpur",541,305,236,56.3770794824399,43.6229205175601
"79","Larkana",101,82,19,81.1881188118812,18.8118811881188
"80","Matiari",141,114,27,80.8510638297872,19.1489361702128
"81","Mir Pur Khas",338,148,190,43.7869822485207,56.2130177514793
"82","Nowshero Feroze",241,182,59,75.5186721991701,24.4813278008299
"83","Sanghar",350,254,96,72.5714285714286,27.4285714285714
"84","Shahdadkot",110,69,41,62.7272727272727,37.2727272727273
"85","Shaheed Banazir Abad",381,244,137,64.0419947506562,35.9580052493438
"86","Shikarpur",262,143,119,54.5801526717557,45.4198473282443
"87","Sujawal",201,176,25,87.5621890547264,12.4378109452736
"88","Sukkur",175,117,58,66.8571428571429,33.1428571428571
"89","Tando Allah Yar",156,110,46,70.5128205128205,29.4871794871795
"90","Tando Muhammad Khan",222,146,76,65.7657657657658,34.2342342342342
"91","Tharparkar",301,153,148,50.8305647840532,49.1694352159468
"92","Thatta",192,155,37,80.7291666666667,19.2708333333333
"93","Umer Kot",205,119,86,58.0487804878049,41.9512195121951
"94","Awaran",155,45,110,29.0322580645161,70.9677419354839
"95","Barkhan",142,96,46,67.6056338028169,32.3943661971831
