"","district","Total_places","Private_Hospital","Govt_Dispen","Home_LHV","Other","Percent_Private_Hospitals","Percent_Govt_Hospitals","Percent_Home","Percent_Others"
"1","Abbottabad",225,100,110,15,0,44.4444444444444,48.8888888888889,6.66666666666667,0
"2","Bajur",378,91,110,177,0,24.0740740740741,29.1005291005291,46.8253968253968,0
"3","Bannu",125,54,46,25,1,43.2,36.8,20,0.8
"4","Batagram",167,39,80,48,0,23.3532934131737,47.9041916167665,28.7425149700599,0
"5","Bunair",332,152,162,18,0,45.7831325301205,48.7951807228916,5.42168674698795,0
"6","Charsada",457,165,283,9,0,36.1050328227571,61.925601750547,1.96936542669584,0
"7","Chitral",133,52,80,1,2,39.0977443609023,60.1503759398496,0.75187969924812,1.50375939849624
"8","D. I. Khan",64,14,31,19,1,21.875,48.4375,29.6875,1.5625
"9","Hangu",230,150,64,16,0,65.2173913043478,27.8260869565217,6.95652173913043,0
"10","Haripur",253,92,140,21,0,36.3636363636364,55.3359683794466,8.300395256917,0
"11","Karak",40,25,7,8,0,62.5,17.5,20,0
"12","Khyber",251,0,232,19,0,0,92.4302788844621,7.56972111553785,0
"13","Kohat",149,89,58,2,0,59.7315436241611,38.9261744966443,1.34228187919463,0
"14","Kohistan",322,136,138,48,0,42.2360248447205,42.8571428571429,14.9068322981366,0
"15","Kurram",254,45,160,49,0,17.7165354330709,62.992125984252,19.2913385826772,0
"16","Lakki Marwat",56,32,18,6,0,57.1428571428571,32.1428571428571,10.7142857142857,0
"17","Lower Dir",438,179,258,1,0,40.8675799086758,58.9041095890411,0.228310502283105,0
"18","Malakand",201,87,105,9,0,43.2835820895522,52.2388059701493,4.47761194029851,0
"19","Mansehra",268,114,102,52,0,42.5373134328358,38.0597014925373,19.4029850746269,0
"20","Mardan",609,260,319,30,2,42.6929392446634,52.3809523809524,4.92610837438424,0.328407224958949
"21","Mohmand",258,130,113,15,1,50.3875968992248,43.7984496124031,5.81395348837209,0.387596899224806
"22","North Waziristan",57,34,15,8,0,59.6491228070175,26.3157894736842,14.0350877192982,0
"23","Nowshera",320,105,180,35,1,32.8125,56.25,10.9375,0.3125
"24","Orakzai",163,57,62,44,0,34.9693251533742,38.0368098159509,26.9938650306748,0
"25","Peshawar",707,311,288,108,1,43.988684582744,40.7355021216407,15.2758132956153,0.141442715700141
"26","Shangla",183,70,106,7,0,38.2513661202186,57.9234972677596,3.82513661202186,0
"27","South Waziristan",22,8,9,5,0,36.3636363636364,40.9090909090909,22.7272727272727,0
"28","Swabi",391,99,268,24,1,25.3196930946292,68.5421994884911,6.1381074168798,0.255754475703325
"29","Swat",216,65,151,0,2,30.0925925925926,69.9074074074074,0,0.925925925925926
"30","Tank",40,6,19,15,0,15,47.5,37.5,0
"31","Tor Garh",38,23,6,9,0,60.5263157894737,15.7894736842105,23.6842105263158,0
"32","Upper Dir",327,93,232,2,0,28.4403669724771,70.9480122324159,0.611620795107034,0
"33","Attock",316,134,171,11,0,42.4050632911392,54.1139240506329,3.48101265822785,0
"34","Bahawalnagar",541,304,144,93,0,56.1922365988909,26.6173752310536,17.1903881700555,0
"35","Bahawalpur",878,495,304,79,1,56.378132118451,34.624145785877,8.99772209567198,0.113895216400911
"36","Bhakhar",400,183,191,26,1,45.75,47.75,6.5,0.25
"37","Chakwal",282,69,201,12,0,24.468085106383,71.2765957446808,4.25531914893617,0
"38","Chiniot",305,207,70,28,0,67.8688524590164,22.9508196721311,9.18032786885246,0
"39","D. G. Khan",358,160,169,29,0,44.6927374301676,47.2067039106145,8.10055865921788,0
"40","Faisalabad",724,480,162,82,2,66.2983425414365,22.3756906077348,11.3259668508287,0.276243093922652
"41","Gujranwala",476,247,220,9,3,51.890756302521,46.218487394958,1.89075630252101,0.630252100840336
"42","Gujrat",349,194,147,8,1,55.5873925501433,42.1203438395415,2.29226361031519,0.286532951289398
"43","Hafizabad",213,116,86,11,1,54.4600938967136,40.3755868544601,5.16431924882629,0.469483568075117
"44","Islamabad",201,91,110,0,1,45.273631840796,54.726368159204,0,0.497512437810945
"45","Jehlum",297,98,188,11,1,32.996632996633,63.2996632996633,3.7037037037037,0.336700336700337
"46","Jhang",487,332,112,43,2,68.1724845995893,22.9979466119097,8.82956878850103,0.410677618069815
"47","Kasur",478,211,242,25,4,44.1422594142259,50.6276150627615,5.23012552301255,0.836820083682008
"48","Khanewal",532,316,120,96,2,59.3984962406015,22.5563909774436,18.0451127819549,0.37593984962406
"49","Khushab",237,157,60,20,2,66.2447257383966,25.3164556962025,8.43881856540084,0.843881856540084
"50","Layyah",166,18,108,40,0,10.8433734939759,65.0602409638554,24.0963855421687,0
"51","Lodhran",236,103,91,42,8,43.6440677966102,38.5593220338983,17.7966101694915,3.38983050847458
"52","Mandi Bahauddin",249,115,130,4,0,46.1847389558233,52.2088353413655,1.60642570281124,0
"53","Mianwali",318,155,120,43,0,48.7421383647799,37.7358490566038,13.5220125786164,0
"54","Multan",507,192,261,54,2,37.8698224852071,51.4792899408284,10.6508875739645,0.394477317554241
"55","Muzaffar Garh",663,218,333,112,44,32.8808446455505,50.2262443438914,16.8929110105581,6.63650075414781
"56","Nankana Sahib",232,105,110,17,1,45.2586206896552,47.4137931034483,7.32758620689655,0.431034482758621
"57","Narowal",431,231,80,120,0,53.5962877030162,18.5614849187935,27.8422273781903,0
"58","Okara",308,102,150,56,0,33.1168831168831,48.7012987012987,18.1818181818182,0
"59","Pakpattan",352,108,141,103,2,30.6818181818182,40.0568181818182,29.2613636363636,0.568181818181818
"60","Rahim Yar Khan",615,250,195,170,7,40.650406504065,31.7073170731707,27.6422764227642,1.13821138211382
"61","Rajanpur",325,86,206,33,0,26.4615384615385,63.3846153846154,10.1538461538462,0
"62","Rawalpindi",534,139,390,5,1,26.0299625468165,73.0337078651685,0.936329588014981,0.187265917602996
"63","Sahiwal",423,180,92,151,6,42.5531914893617,21.7494089834515,35.6973995271868,1.41843971631206
"64","Sargodha",578,348,176,54,2,60.2076124567474,30.4498269896194,9.34256055363322,0.346020761245675
