"","district","n()","total_visits","one_to_three","four_to_six","more_than_six","percent_one_to_three","percent_four_to_six","percent_more_than_six"
"1","Abbottabad",869,225,129,85,11,57.3333333333333,37.7777777777778,4.88888888888889
"2","Bajur",1203,378,299,78,1,79.1005291005291,20.6349206349206,0.264550264550265
"3","Bannu",765,126,100,26,0,79.3650793650794,20.6349206349206,0
"4","Batagram",635,167,94,53,20,56.2874251497006,31.7365269461078,11.9760479041916
"5","Bunair",945,332,191,124,17,57.5301204819277,37.3493975903614,5.12048192771084
"6","Charsada",1297,457,294,157,6,64.3326039387308,34.3544857768052,1.31291028446389
"7","Chitral",585,135,60,74,1,44.4444444444444,54.8148148148148,0.740740740740741
"8","D. I. Khan",901,65,46,19,0,70.7692307692308,29.2307692307692,0
"9","Hangu",810,230,138,79,13,60,34.3478260869565,5.65217391304348
"10","Haripur",970,253,91,112,50,35.9683794466403,44.2687747035573,19.7628458498024
"11","Karak",493,40,27,13,0,67.5,32.5,0
"12","Khyber",920,251,187,62,2,74.5019920318725,24.7011952191235,0.796812749003984
"13","Kohat",723,149,117,31,1,78.5234899328859,20.8053691275168,0.671140939597315
"14","Kohistan",1323,322,291,31,0,90.3726708074534,9.62732919254658,0
"15","Kurram",845,254,202,52,0,79.5275590551181,20.4724409448819,0
"16","Lakki Marwat",491,56,47,9,0,83.9285714285714,16.0714285714286,0
"17","Lower Dir",1676,438,326,108,4,74.4292237442922,24.6575342465753,0.91324200913242
"18","Malakand",530,201,95,98,8,47.2636815920398,48.7562189054726,3.98009950248756
"19","Mansehra",1094,268,193,30,45,72.0149253731343,11.1940298507463,16.7910447761194
"20","Mardan",1490,611,253,309,49,41.4075286415712,50.5728314238953,8.01963993453355
"21","Mohmand",687,259,204,51,4,78.7644787644788,19.6911196911197,1.54440154440154
"22","North Waziristan",547,57,37,20,0,64.9122807017544,35.0877192982456,0
"23","Nowshera",1132,321,214,104,3,66.6666666666667,32.398753894081,0.934579439252336
"24","Orakzai",424,163,23,116,24,14.1104294478528,71.1656441717791,14.7239263803681
"25","Peshawar",1828,708,500,196,12,70.6214689265537,27.683615819209,1.69491525423729
"26","Shangla",569,183,149,34,0,81.4207650273224,18.5792349726776,0
"27","South Waziristan",512,22,21,1,0,95.4545454545455,4.54545454545455,0
"28","Swabi",1323,392,330,62,0,84.1836734693878,15.8163265306122,0
"29","Swat",885,218,158,60,0,72.4770642201835,27.5229357798165,0
"30","Tank",378,40,40,0,0,100,0,0
"31","Tor Garh",415,38,35,2,1,92.1052631578947,5.26315789473684,2.63157894736842
"32","Upper Dir",1328,327,157,165,5,48.0122324159021,50.4587155963303,1.52905198776758
"33","Attock",1198,316,116,181,19,36.7088607594937,57.2784810126582,6.0126582278481
"34","Bahawalnagar",1916,541,282,229,30,52.1256931608133,42.3290203327172,5.5452865064695
"35","Bahawalpur",2482,879,649,230,0,73.8339021615472,26.1660978384528,0
"36","Bhakhar",1203,401,355,42,4,88.5286783042394,10.4738154613466,0.997506234413965
"37","Chakwal",1065,282,78,110,94,27.6595744680851,39.0070921985816,33.3333333333333
"38","Chiniot",878,305,181,107,17,59.344262295082,35.0819672131148,5.57377049180328
"39","D. G. Khan",1332,358,346,12,0,96.6480446927374,3.35195530726257,0
"40","Faisalabad",2497,726,425,228,73,58.5399449035813,31.404958677686,10.0550964187328
"41","Gujranwala",1428,479,144,191,144,30.062630480167,39.874739039666,30.062630480167
"42","Gujrat",1435,350,126,167,57,36,47.7142857142857,16.2857142857143
"43","Hafizabad",835,214,73,112,29,34.1121495327103,52.3364485981308,13.5514018691589
"44","Islamabad",628,202,52,77,73,25.7425742574257,38.1188118811881,36.1386138613861
"45","Jehlum",954,298,124,119,55,41.6107382550336,39.9328859060403,18.4563758389262
"46","Jhang",1720,489,327,135,27,66.8711656441718,27.6073619631902,5.52147239263804
"47","Kasur",1753,482,257,157,68,53.3195020746888,32.5726141078838,14.1078838174274
"48","Khanewal",1615,534,289,168,77,54.1198501872659,31.4606741573034,14.4194756554307
"49","Khushab",958,239,122,102,15,51.0460251046025,42.6778242677824,6.27615062761506
